T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],lon[deg],lat[deg],alt[m],azimuth[deg],back_azimuth[deg],distance_2d[m],elevation[deg],distance_3d[m],East[m],North[m]
-20.8,-3783428,2804038,4287269,0,0,0,143.45649202367917,42.506201753962614,68.639240430668,0.28271318800208955,-179.71728656627093,6.057876561052134,84.95632886819114,68.90604614493559,0.029891113447174558,6.057802815401119
-20.7,-3783428,2804037,4287258,0,0,0,143.45650179844174,42.50613237477729,60.76791933272034,153.19193073447835,-26.80806241528876,1.8476329449043405,88.25847309088147,60.796001246193015,0.8332884514404605,-1.6490536242923834
-20.3,-3783426,2804038,4287262,0,0,0,143.45647753480216,42.50616507227723,62.72500478196889,-30.346088234613923,149.65390222142182,2.297927067347508,87.90191059188203,62.76708288350566,-1.1609632364452434,1.98308677835109
-20.2,-3783425,2804038,4287254,0,0,0,143.45647029036,42.50611686735461,56.72737703938037,-152.4837756225938,27.516209938600525,3.801716341021795,86.1659240151938,56.85462472750666,-1.7563920695179103,-3.371666358898332
-20.2,-3783425,2804038,4287254,0,0,0,143.45647029036,42.50611686735461,56.72737703938037,-152.4837756225938,27.516209938600525,3.801716341021795,86.1659240151938,56.85462472750666,-1.7563920695179103,-3.371666358898332
-19.89,-3783426,2804038,4287259,0,0,0,143.45647753480216,42.506145162926515,60.69799656141549,-101.134879568572,78.86511088746555,1.183237721897754,88.88322603900008,60.70952839609388,-1.1609636052895713,-0.22850604743600736
-19.8,-3783429,2804038,4287260,0,0,0,143.456499268114,42.506137139256325,63.15048794262111,150.8201618494908,-29.17983300994061,1.2825661753194209,88.8365010338629,63.16351085385618,0.6253182885245017,-1.11980044298539
-19.4,-3783428,2804037,4287267,0,0,0,143.45650179844174,42.50619210280287,66.8489448223263,9.488417646641233,-170.51157550312195,5.054877965804956,85.67572751359359,67.03978829849933,0.8332876585201989,4.985721906337975
-19.3,-3783430,2804037,4287259,0,0,0,143.45651628730735,42.506129237814626,62.6281370408833,134.62067565841818,-45.379307701669006,2.8438050876421235,87.4001113590675,62.69266924121319,2.024142603317625,-1.997516983140262
-18.9,-3783428,2804036,4287265,0,0,0,143.45651157320674,42.50618245163685,65.05864949617535,22.694684586764286,-157.30530195848863,4.242088847436293,86.26936292555432,65.19680354170548,1.6366846512044324,3.913640395086805
-18.8,-3783430,2804036,4287259,0,0,0,143.45652606207085,42.506132859530275,62.18918111268431,119.430265366355,-60.569711389224864,3.2464844652246603,87.01168017127561,62.273862164227424,2.8275398624883663,-1.595205224723239
-18.5,-3783427,2804036,4287265,0,0,0,143.45650432877096,42.506187338347175,64.46637570858002,13.151267593312808,-166.84872384678425,4.5765002324422195,85.93935624140015,64.62861557682741,1.0412577758842907,4.456471319519984
-18.3,-3783430,2804035,4287259,0,0,0,143.45653583683682,42.506136481245576,61.750225310213864,108.18721099828133,-71.81275915278907,3.8218712546577573,86.45834290153383,61.868384702926875,3.6309372328631633,-1.1928934144286552
-18.0,-3783426,2804036,4287260,0,0,0,143.45649708433274,42.506159042820244,60.495753665454686,18.750797627473105,-161.24919870747135,1.3869259798723428,88.68666670957836,60.51164991326066,0.4458310283938583,1.3133157913335745
-17.9,-3783431,2804035,4287260,0,0,0,143.4565430812644,42.50613823098726,63.01816896721721,103.29301875468587,-76.70694650154708,4.342718582530256,86.05785605721695,63.16762481420203,4.226363672461719,-0.9985263116961354
-17.4,-3783431,2804038,4287259,0,0,0,143.45651375697616,42.50612072939281,63.659367486834526,148.3176334825787,-31.682351587176527,3.4579943406132645,86.8907332678376,63.75321790845979,1.8161724419699277,-2.9426590901329965
-17.1,-3783425,2804037,4287260,0,0,0,143.45648006512477,42.506160307808834,60.34243585448712,-33.24498093001887,146.75501123567884,1.73834186617978,88.34988243235863,60.36746969433626,-0.9529937245748793,1.4538347239745992
-17.0,-3783431,2804037,4287258,0,0,0,143.45652353173645,42.50611771465482,62.54474250134081,141.36649196843078,-38.633486496821234,4.195765671595885,86.16210727196092,62.68531936689778,2.619569834962354,-3.277545339228395
-16.6,-3783427,2804037,4287260,0,0,0,143.45649455400522,42.50615053439035,61.52698367089033,32.864810275893014,-147.13518776871643,0.43832535081576623,89.59182514246335,61.528544991338556,0.23786105308726213,0.36817282978512034
-16.5,-3783431,2804036,4287257,0,0,0,143.4565333064992,42.50611469991494,61.430117637850344,136.54260978460857,-43.457362076138935,4.976582097875589,85.36846378754078,61.63136962924828,3.4229675082433397,-3.612431703770492
-16.1,-3783426,2804036,4287258,0,0,0,143.45649708433274,42.506145769915236,59.144414922222495,109.86491782997345,-70.13507850497149,0.47403811099952436,89.5407883980065,59.14631458191368,0.4458311202293275,-0.16107992710161095
-16.0,-3783429,2804036,4287257,0,0,0,143.45651881764002,42.50612447333187,60.24556854739785,138.5430767405788,-41.4569049098414,3.371483222301065,86.79693486726329,60.339832852912934,2.2321133020489166,-2.526770532730239
-15.7,-3783425,2804036,4287259,0,0,0,143.45648983989201,42.50615729307911,59.22781029064208,-7.614927097519934,172.38507167268884,1.1289048275088356,88.90805264304008,59.238567993612584,-0.14959639894819357,1.1189490725651845
-15.6,-3783428,2804034,4287255,0,0,0,143.45653112274417,42.50612333056275,57.42404416296631,129.2889249616841,-50.71104837455701,4.190747642559091,85.82601260643847,57.57675932035355,3.2434820469205112,-2.6537124966580143
-15.2,-3783426,2804035,4287261,0,0,0,143.45650685910172,42.50616930099121,60.732467295601964,26.98982325766,-153.01016647277135,2.7526213918856888,87.40491808671247,60.79481481457468,1.249228315867989,2.4528255424918286
-15.1,-3783428,2804035,4287254,0,0,0,143.45652134797422,42.506113072386725,57.18733119405806,147.24784847357864,-32.75213146717496,4.510271934927774,85.4905094723173,57.36491438175327,2.44008441759632,-3.7932230308803034
-14.8,-3783425,2804038,4287261,0,0,0,143.45647029036,42.506163322536665,61.45706153754145,-44.47750807194719,135.52247748924074,2.5068762830834586,87.66416025018128,61.50816890078783,-1.7563907698121586,1.7887202582866304
-14.6,-3783428,2804037,4287255,0,0,0,143.45650179844174,42.50611246540993,58.74091237131506,167.8200351523313,-12.1799579974371,3.94955380554101,86.1534019602893,58.87354041908282,0.8332887159418478,-3.860648284776465
-14.6,-3783428,2804037,4287255,0,0,0,143.45650179844174,42.50611246540993,58.74091237131506,167.8200351523313,-12.1799579974371,3.94955380554101,86.1534019602893,58.87354041908282,0.8332887159418478,-3.860648284776465
-14.3,-3783426,2804038,4287262,0,0,0,143.45647753480216,42.50616507227723,62.72500478196889,-30.346088234613923,149.65390222142182,2.297927067347508,87.90191059188203,62.76708288350566,-1.1609632364452434,1.98308677835109
-14.2,-3783428,2804037,4287255,0,0,0,143.45650179844174,42.50611246540993,58.74091237131506,167.8200351523313,-12.1799579974371,3.94955380554101,86.1534019602893,58.87354041908282,0.8332887159418478,-3.860648284776465
-13.8,-3783425,2804038,4287261,0,0,0,143.45647029036,42.506163322536665,61.45706153754145,-44.47750807194719,135.52247748924074,2.5068762830834586,87.66416025018128,61.50816890078783,-1.7563907698121586,1.7887202582866304
