T[s],P0[MPa],P1[MPa],P2[MPa],P3[MPa],P4[MPa],P5[MPa]
28.70,17.70,2.166,3.025,2.940,1.069,22.36
29.10,17.60,2.172,3.025,2.940,1.082,22.24
29.60,17.50,2.172,3.031,2.940,1.088,22.14
30.10,17.39,2.172,3.031,2.946,1.069,22.04
31.00,17.17,2.172,3.038,2.952,1.101,21.79
31.50,17.07,2.172,3.038,2.952,1.094,21.69
31.90,16.97,2.172,3.044,2.959,1.094,21.56
32.40,16.87,2.172,3.044,2.959,1.088,21.46
32.90,16.77,2.179,3.050,2.965,1.069,21.36
33.30,16.67,2.172,3.050,2.965,1.076,21.24
33.80,16.54,2.179,3.050,2.965,1.094,21.14
33.80,16.54,2.179,3.050,2.965,1.094,21.14
34.20,16.47,2.179,3.056,2.971,1.094,21.01
34.70,16.37,2.179,3.056,2.971,1.101,20.91
35.20,16.24,2.179,3.056,2.971,1.094,20.81
35.60,16.17,2.179,3.063,2.977,1.088,20.71
36.10,16.07,2.179,3.063,2.977,1.051,20.58
36.60,15.96,2.179,3.063,2.984,1.107,20.48
37.00,15.86,2.179,3.063,2.984,1.082,20.43
37.50,15.76,2.179,3.069,2.984,1.069,20.33
38.00,15.66,2.179,3.069,2.984,1.076,20.21
38.40,15.56,2.179,3.069,2.990,1.088,20.18
38.90,15.46,2.179,3.069,2.990,1.076,20.01
39.40,15.36,2.179,3.069,2.996,1.107,19.91
39.80,15.29,2.179,3.075,2.990,1.082,19.88
40.30,15.19,2.179,3.075,2.996,1.088,19.71
40.30,15.19,2.179,3.075,2.996,1.088,19.71
40.70,15.09,2.179,3.081,2.996,1.063,19.60
41.20,14.99,2.172,3.075,2.996,1.094,19.55
41.70,14.89,2.179,3.081,3.003,1.126,19.45
42.10,14.79,2.179,3.081,3.003,1.082,19.33
42.60,14.71,2.179,3.081,3.009,1.076,19.23
43.10,14.61,2.179,3.088,3.009,1.094,19.13
43.50,14.51,2.179,3.088,3.009,1.101,19.03
44.00,14.43,2.179,3.088,3.009,1.069,18.93
44.50,14.33,2.179,3.088,3.015,1.076,18.83
44.90,14.23,2.172,3.094,3.015,1.063,18.73
45.40,14.13,2.172,3.094,3.015,1.069,18.63
45.90,14.03,2.172,3.094,3.021,1.088,18.53
46.30,13.96,2.172,3.094,3.021,1.069,18.43
46.40,13.96,2.172,3.094,3.021,1.069,18.43
46.80,13.86,2.172,3.094,3.021,1.069,18.33
47.20,13.78,2.172,3.094,3.021,1.076,18.22
47.70,13.68,2.172,3.094,3.021,1.076,18.12
48.20,13.58,2.172,3.094,3.021,1.063,18.02
48.60,13.51,2.172,3.094,3.021,1.069,17.95
49.10,13.41,2.172,3.094,3.021,1.082,17.85
49.60,13.33,2.172,3.100,3.028,1.088,17.77
50.00,13.23,2.172,3.100,3.028,1.082,17.67
50.50,13.13,2.172,3.100,3.028,1.076,17.60
51.00,13.05,2.172,3.100,3.028,1.088,17.50
51.40,12.98,2.166,3.100,3.028,1.063,17.40
51.90,12.88,2.172,3.100,3.028,1.063,17.30
52.40,12.80,2.166,3.100,3.028,1.063,17.22
52.80,12.70,2.166,3.100,3.028,1.044,17.12
53.30,12.63,2.166,3.100,3.028,1.026,17.02
53.80,12.53,2.166,3.100,3.028,1.044,16.94
54.20,12.45,2.166,3.100,3.028,1.057,16.84
54.70,12.35,2.166,3.100,3.028,1.032,16.77
55.20,12.28,2.166,3.100,3.034,1.057,16.67
55.60,12.18,2.166,3.100,3.028,1.069,16.57
56.10,12.10,2.160,3.100,3.028,1.032,16.49
56.60,12.03,2.166,3.100,3.034,1.069,16.39
57.00,11.93,2.160,3.100,3.034,1.051,16.32
57.50,11.82,2.160,3.100,3.034,1.038,16.24
58.00,11.75,2.160,3.100,3.028,1.026,16.14
58.40,11.67,2.160,3.100,3.028,1.051,16.04
59.40,11.52,2.154,3.100,3.034,1.038,15.89
59.81,11.40,2.154,3.100,3.028,1.013,15.79
60.30,11.32,2.154,3.100,3.028,1.038,15.72
60.80,11.25,2.154,3.094,3.028,1.057,15.64
61.20,11.17,2.147,3.094,3.028,1.057,15.54
