T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s]
10.00,-3783502,2804096,4287331,0,0,0
10.30,-3783502,2804098,4287337,0,0,0
10.40,-3783502,2804098,4287337,0,0,0
10.40,-3783514,2804104,4287344,0,0,0
10.80,-3783509,2804103,4287346,0,0,0
11.20,-3783521,2804113,4287359,0,0,0
11.30,-3783528,2804116,4287357,0,0,0
11.70,-3783529,2804118,4287365,0,0,0
12.20,-3783537,2804123,4287374,0,0,0
12.20,-3783537,2804123,4287374,0,0,0
12.30,-3783547,2804129,4287379,0,0,0
12.60,-3783550,2804133,4287388,0,0,0
12.70,-3783557,2804137,4287389,0,0,0
13.10,-3783560,2804139,4287397,0,0,0
13.20,-3783570,2804146,4287402,0,0,0
13.60,-3783569,2804145,4287411,0,0,0
13.70,-3783582,2804154,4287414,0,0,0
14.00,-3783585,2804160,4287424,0,0,0
14.10,-3783593,2804167,4287423,0,0,0
14.50,-3783596,2804167,4287437,0,0,0
14.60,-3783608,2804172,4287445,0,0,0
14.92,-3783608,2804175,4287454,0,0,0
15.00,-3783608,2804175,4287454,0,0,0
15.10,-3783617,2804178,4287457,0,0,0
15.40,-3783628,2804189,4287477,0,0,0
15.50,-3783627,2804186,4287462,0,0,0
15.90,-3783640,2804196,4287483,0,0,0
16.00,-3783638,2804192,4287478,0,0,0
16.40,-3783651,2804203,4287494,0,0,0
16.50,-3783656,2804204,4287498,0,0,0
16.80,-3783672,2804216,4287516,0,0,0
16.90,-3783670,2804213,4287514,0,0,0
17.30,-3783686,2804224,4287531,0,0,0
17.40,-3783692,2804224,4287526,0,0,0
17.80,-3783701,2804233,4287547,-35,23,37
17.90,-3783705,2804238,4287548,-36,23,37
18.20,-3783721,2804247,4287566,-37,24,39
18.30,-3783721,2804247,4287561,-37,24,38
18.80,-3783738,2804259,4287576,-38,25,40
19.10,-3783753,2804265,4287602,-39,25,41
19.30,-3783763,2804273,4287611,-40,26,42
19.60,-3783777,2804283,4287623,-41,26,43
19.70,-3783777,2804283,4287623,-41,26,43
19.70,-3783779,2804283,4287626,-41,26,43
20.10,-3783793,2804292,4287642,-42,27,44
20.20,-3783796,2804295,4287643,-43,27,44
20.50,-3783813,2804305,4287663,-44,28,45
20.70,-3783822,2804312,4287668,-44,28,46
20.70,-3783822,2804312,4287668,-44,28,46
21.10,-3783841,2804324,4287687,-46,29,47
21.50,-3783857,2804333,4287710,-47,30,48
21.60,-3783861,2804336,4287706,-47,30,48
21.91,-3783876,2804346,4287727,-48,30,50
22.40,-3783897,2804359,4287748,-49,31,51
22.50,-3783913,2804367,4287762,-50,32,52
22.90,-3783928,2804377,4287781,-51,32,53
22.90,-3783928,2804377,4287781,-51,32,53
23.00,-3783932,2804380,4287781,-51,32,53
23.30,-3783946,2804392,4287803,-53,33,54
23.40,-3783946,2804392,4287803,-53,33,54
23.41,-3783962,2804401,4287811,-53,33,55
23.80,-3783969,2804406,4287826,-54,34,56
23.90,-3783983,2804414,4287832,-54,34,56
24.30,-3784003,2804427,4287858,-56,35,58
24.40,-3784003,2804426,4287855,-56,35,58
24.70,-3784027,2804444,4287883,-57,36,59
24.80,-3784037,2804447,4287894,-58,36,60
25.20,-3784051,2804457,4287909,-58,37,61
25.30,-3784062,2804463,4287919,-59,37,61
25.60,-3784086,2804479,4287949,-60,38,63
25.80,-3784086,2804479,4287942,-60,38,63
25.80,-3784086,2804479,4287942,-60,38,63
26.10,-3784113,2804496,4287975,-62,39,64
26.60,-3784137,2804512,4287998,-63,40,66
26.70,-3784147,2804517,4288004,-64,41,66
27.00,-3784179,2804537,4288039,-65,41,68
27.20,-3784173,2804534,4288036,-65,41,68
27.50,-3784206,2804554,4288069,-66,42,69
27.60,-3784212,2804560,4288083,-67,43,70
28.00,-3784232,2804570,4288097,-68,43,71
28.10,-3784241,2804578,4288107,-69,44,71
28.40,-3784272,2804596,4288140,-70,45,73
28.60,-3784270,2804597,4288133,-70,45,73
28.90,-3784301,2804614,4288170,-72,45,75
29.00,-3784315,2804625,4288163,-72,46,74
29.40,-3784330,2804633,4288202,-73,46,76
29.50,-3784345,2804646,4288210,-74,47,76
29.80,-3784374,2804663,4288244,-75,48,78
30.00,-3784376,2804666,4288243,-75,48,78
30.30,-3784404,2804683,4288276,-77,49,80
30.40,-3784421,2804693,4288293,-78,49,80
30.80,-3784437,2804704,4288312,-78,50,81
30.80,-3784437,2804704,4288312,-78,50,81
30.90,-3784454,2804714,4288326,-79,50,82
31.20,-3784485,2804735,4288357,-81,51,83
31.30,-3784487,2804735,4288354,-81,51,83
31.70,-3784518,2804756,4288393,-82,52,85
31.80,-3784537,2804766,4288407,-83,53,86
32.30,-3784569,2804786,4288445,-85,54,88
32.60,-3784603,2804810,4288482,-86,55,89
32.70,-3784602,2804807,4288484,-86,55,89
33.10,-3784638,2804832,4288517,-88,56,89
33.20,-3784637,2804829,4288514,-88,56,91
33.50,-3784674,2804852,4288555,-89,57,93
33.60,-3784674,2804852,4288555,-89,57,93
33.70,-3784689,2804865,4288570,-90,57,94
34.00,-3784729,2804888,4288612,-92,58,96
34.50,-3784767,2804912,4288651,-93,59,97
34.60,-3784767,2804912,4288645,-93,59,97
34.90,-3784806,2804936,4288695,-95,60,99
35.10,-3784823,2804949,4288711,-95,61,100
35.40,-3784864,2804973,4288754,-97,62,102
35.50,-3784863,2804973,4288750,-97,62,102
36.00,-3784902,2805001,4288788,-98,63,102
36.30,-3784940,2805024,4288835,-100,64,106
36.50,-3784964,2805039,4288857,-101,64,106
36.80,-3784982,2805051,4288878,-102,65,107
36.90,-3785005,2805065,4288898,-103,65,108
37.30,-3785045,2805089,4288947,-104,67,110
37.70,-3785087,2805118,4288990,-106,68,112
37.80,-3785087,2805118,4288990,-106,68,112
37.80,-3785112,2805132,4289011,-107,68,113
38.20,-3785129,2805145,4289037,-108,69,114
38.30,-3785129,2805145,4289037,-108,69,114
38.30,-3785154,2805159,4289055,-109,69,115
38.70,-3785196,2805187,4289101,-111,70,117
38.80,-3785196,2805186,4289105,-111,70,117
39.10,-3785241,2805215,4289153,-113,71,119
39.20,-3785264,2805230,4289172,-113,72,120
39.60,-3785287,2805244,4289202,-114,72,121
39.70,-3785308,2805258,4289218,-115,73,122
40.10,-3785358,2805290,4289275,-117,74,124
40.50,-3785406,2805319,4289325,-119,75,125
40.60,-3785427,2805337,4289352,-120,76,127
41.00,-3785454,2805349,4289375,-120,77,127
41.10,-3785478,2805366,4289401,-121,78,128
41.40,-3785527,2805396,4289456,-123,79,130
41.60,-3785528,2805398,4289454,-123,79,130
41.90,-3785577,2805429,4289507,-125,80,132
42.00,-3785601,2805447,4289533,-126,81,133
42.40,-3785628,2805464,4289560,-127,82,134
42.50,-3785656,2805481,4289587,-128,82,135
42.80,-3785704,2805513,4289640,-130,83,137
43.00,-3785709,2805513,4289644,-130,83,137
43.30,-3785758,2805547,4289696,-132,84,139
43.40,-3785785,2805562,4289717,-133,85,140
43.80,-3785813,2805585,4289751,-134,86,141
43.80,-3785813,2805585,4289751,-134,86,141
43.90,-3785837,2805598,4289778,-135,86,142
