T[s],control_rtti[dBm],uptime_min[min],batt_v[V],unb_v[V]
60.40,-50,15300,20.87,1.87
60.90,-59,15300,20.87,1.87
61.30,-57,15300,20.74,1.83
61.80,-50,15300,20.74,1.83
62.30,-55,15300,20.78,1.83
62.70,-61,15300,20.78,1.83
63.20,-52,15300,20.74,1.81
63.70,-55,15300,20.74,1.81
64.11,-66,15300,20.74,1.81
64.60,-55,15300,20.70,1.85
65.10,-54,15300,20.70,1.85
65.51,-62,15300,20.52,1.77
66.00,-61,15300,20.52,1.77
66.40,-54,15300,20.66,1.85
