T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
27.91,-3784232,2804570,4288097,1,11,1.1,1501399889
28.40,-3784257,2804588,4288124,1,11,1.1,1501399890
28.81,-3784301,2804614,4288170,1,11,1.1,1501399890
29.80,-3784360,2804654,4288231,1,11,1.1,1501399891
30.21,-3784404,2804683,4288276,1,11,1.1,1501399892
30.70,-3784437,2804704,4288312,1,11,1.1,1501399892
31.20,-3784468,2804724,4288341,1,11,1.1,1501399892
31.61,-3784518,2804756,4288393,1,11,1.1,1501399893
32.10,-3784552,2804777,4288429,1,11,1.1,1501399893
32.20,-3784552,2804777,4288429,1,11,1.1,1501399893
32.60,-3784585,2804798,4288461,1,11,1.1,1501399894
33.00,-3784638,2804832,4288517,1,11,1.1,1501399894
33.50,-3784674,2804852,4288555,1,11,1.1,1501399895
34.00,-3784710,2804876,4288591,1,11,1.1,1501399895
34.41,-3784767,2804912,4288651,1,11,1.1,1501399896
34.90,-3784806,2804936,4288695,1,11,1.1,1501399896
35.40,-3784845,2804960,4288736,1,11,1.1,1501399897
35.80,-3784902,2804997,4288794,1,11,1.1,1501399897
35.90,-3784902,2804997,4288794,1,11,1.1,1501399897
36.30,-3784940,2805024,4288835,1,11,1.1,1501399898
36.71,-3784982,2805051,4288878,1,11,1.1,1501399898
37.20,-3785045,2805089,4288947,1,11,1.1,1501399899
37.70,-3785087,2805118,4288990,1,11,1.1,1501399899
38.11,-3785129,2805145,4289037,1,11,1.1,1501399899
38.60,-3785175,2805173,4289079,1,11,1.1,1501399900
39.10,-3785241,2805215,4289153,1,11,1.1,1501399900
39.50,-3785287,2805244,4289202,1,11,1.1,1501399901
40.00,-3785335,2805274,4289251,1,11,1.1,1501399901
40.41,-3785406,2805319,4289325,1,11,1.1,1501399902
40.91,-3785454,2805349,4289375,1,11,1.1,1501399902
41.40,-3785502,2805380,4289429,1,11,1.1,1501399903
41.81,-3785577,2805429,4289507,1,11,1.1,1501399903
42.31,-3785628,2805464,4289560,1,11,1.1,1501399904
42.80,-3785679,2805496,4289612,1,11,1.1,1501399904
43.21,-3785758,2805547,4289696,1,11,1.1,1501399905
43.70,-3785813,2805585,4289751,1,11,1.1,1501399905
44.61,-3785951,2805669,4289898,1,11,1.1,1501399906
45.10,-3786008,2805704,4289959,1,11,1.1,1501399906
45.60,-3786065,2805741,4290021,1,11,1.1,1501399907
46.01,-3786149,2805798,4290107,1,11,1.1,1501399907
46.50,-3786210,2805836,4290171,1,11,1.1,1501399908
47.00,-3786271,2805874,4290239,1,11,1.1,1501399908
47.41,-3786363,2805933,4290328,1,11,1.1,1501399909
47.50,-3786363,2805933,4290328,1,11,1.1,1501399909
47.90,-3786425,2805972,4290394,1,11,1.1,1501399909
48.40,-3786489,2806010,4290460,1,11,1.1,1501399910
48.81,-3786588,2806071,4290562,1,11,1.1,1501399910
49.30,-3786655,2806110,4290634,1,11,1.1,1501399911
49.71,-3786720,2806152,4290701,1,11,1.1,1501399911
50.20,-3786823,2806216,4290810,1,11,1.1,1501399912
50.70,-3786892,2806260,4290879,1,11,1.1,1501399912
51.60,-3787073,2806368,4291059,1,11,1.1,1501399913
52.10,-3787145,2806411,4291131,1,11,1.1,1501399913
52.51,-3787218,2806456,4291207,1,11,1.1,1501399914
53.01,-3787296,2806500,4291288,1,11,1.1,1501399914
53.50,-3787409,2806569,4291402,1,11,1.1,1501399915
53.91,-3787486,2806615,4291482,1,11,1.1,1501399915
54.40,-3787605,2806687,4291598,1,11,1.1,1501399916
54.90,-3787687,2806735,4291682,1,11,1.1,1501399916
54.90,-3787687,2806735,4291682,1,11,1.1,1501399916
