T[s],encoder_a[enc],encoder_b[enc],target_a[enc],target_b[enc]
-20.60,6,7,0,0
-19.70,6,7,0,0
-19.20,6,7,0,0
-18.80,6,7,0,0
-18.30,6,7,0,0
-17.80,6,7,0,0
-17.40,6,7,0,0
-16.90,6,7,0,0
-16.40,6,7,0,0
-16.00,6,7,0,0
-15.50,6,7,0,0
-15.00,6,7,0,0
-14.10,6,7,0,0
-13.70,6,7,0,0
-13.20,6,7,0,0
-12.70,6,7,0,0
-12.30,6,7,0,0
-12.20,6,7,0,0
-11.80,6,7,0,0
-11.30,6,7,0,0
-10.90,6,7,0,0
-10.40,6,7,0,0
-9.90,6,7,0,0
-9.50,133,-140,0,0
-9.00,305,-323,0,0
-8.50,429,-429,0,0
-7.60,117,-75,0,0
-7.60,117,-75,0,0
-7.10,-60,106,0,0
-6.69,-201,161,0,0
-6.20,-14,19,0,0
-5.80,-16,17,0,0
-5.30,-20,17,0,0
-4.80,-20,17,0,0
-4.40,-20,18,0,0
-3.90,-20,18,0,0
-3.40,-20,18,0,0
-3.00,-20,18,0,0
-2.50,-20,18,0,0
-2.00,-20,18,0,0
-1.60,-19,17,0,0
-1.10,-19,17,0,0
-0.70,-19,17,0,0
-0.60,-19,17,0,0
-0.20,-19,17,0,0
0.30,-19,17,-1,4
0.70,-16,12,5,19
1.20,30,11,32,16
1.70,86,9,108,-1
2.10,211,15,237,-3
2.60,137,-2,140,-12
3.10,127,-8,137,0
3.50,132,8,124,23
4.00,121,20,120,8
4.41,118,2,132,13
4.90,116,-5,112,-16
5.40,108,-18,116,-21
5.80,112,-18,118,-14
6.30,117,-16,124,6
6.80,116,-15,112,-5
7.20,110,-6,111,-11
7.70,110,-11,121,-2
8.20,109,-8,129,-12
8.60,117,6,126,-18
9.10,113,-7,128,-4
9.60,116,-5,125,9
10.50,118,-5,131,-22
10.90,116,-9,132,-5
11.40,120,-2,134,-3
11.90,114,4,118,-22
12.30,115,-6,124,-33
12.80,113,-3,113,-17
13.30,104,2,108,-14
13.70,97,37,92,1
14.20,82,42,87,44
14.70,87,59,111,49
15.10,126,57,147,29
15.60,121,13,128,-4
16.10,103,3,113,-11
16.50,117,5,141,-8
17.00,132,2,148,-30
17.50,110,-9,110,-24
17.90,117,-13,119,-28
18.40,135,-12,152,-14
18.90,148,-12,175,-24
19.30,153,-7,159,-18
19.80,145,-13,146,-9
20.30,143,-18,137,-21
21.20,125,-2,143,5
21.60,120,-2,136,-18
21.70,120,-2,136,-18
22.10,109,-5,126,-9
22.60,102,5,106,15
22.60,102,5,106,15
23.00,96,24,100,25
23.50,96,32,99,24
24.00,94,23,100,17
24.40,83,23,99,0
24.90,82,15,99,12
25.00,82,15,99,12
25.40,74,20,86,6
26.30,97,1,124,-6
26.80,107,-3,137,-32
27.20,127,-20,136,-42
27.30,127,-20,136,-42
27.70,122,-30,137,-36
28.10,133,-18,152,-22
28.60,140,-16,159,-4
29.10,152,8,165,-14
29.50,153,9,159,-12
30.00,149,18,151,8
30.50,146,21,157,35
30.50,146,21,157,35
30.90,128,30,131,11
31.40,115,41,122,13
31.90,104,52,113,22
32.30,96,42,108,20
32.80,96,55,105,34
33.30,104,41,135,22
33.70,119,38,140,13
34.20,115,18,127,-7
34.60,122,-3,114,-23
35.10,112,7,104,-15
35.60,131,1,135,-23
36.00,137,-19,144,-27
36.50,136,-23,143,-30
37.00,129,-28,133,-33
37.40,131,-11,139,-4
37.90,141,9,169,-14
38.40,163,8,170,-37
38.80,157,-15,156,-34
39.30,146,8,150,-3
39.80,161,27,175,-14
40.20,181,27,182,-27
40.70,170,31,169,7
41.20,184,56,188,43
41.60,175,45,171,12
42.10,146,37,138,9
42.60,128,61,150,49
43.00,147,65,156,33
43.50,120,61,136,25
43.90,113,54,109,28
44.40,97,68,114,17
44.90,94,44,99,9
45.30,79,40,81,-10
45.80,50,29,62,-5
46.30,52,34,77,7
46.70,58,27,68,-22
47.70,39,-25,51,-62
48.10,36,-33,50,-78
48.60,61,-67,81,-120
49.00,90,-106,111,-169
49.50,90,-133,107,-148
50.00,116,-127,149,-155
50.40,175,-154,192,-194
50.90,196,-133,183,-155
51.40,217,-74,224,-88
51.80,291,-47,318,-74
52.30,343,-42,341,-82
52.80,355,-34,334,-98
53.20,322,-73,279,-142
53.70,317,-66,312,-138
54.20,369,-78,381,-133
54.60,419,-80,407,-127
55.10,471,-34,492,-84
55.60,446,-64,401,-135
56.00,404,-27,384,-93
56.50,445,5,461,-36
57.00,559,36,588,-21
57.40,549,-22,525,-104
57.90,498,14,497,-72
58.40,526,-1,528,-45
58.80,669,-8,697,-104
58.90,669,-8,697,-104
59.30,567,-44,533,-121
59.80,520,-39,480,-111
60.20,587,84,608,57
60.70,641,94,680,32
61.20,643,12,597,-128
61.60,704,142,752,86
62.10,731,47,704,-25
62.60,742,-10,710,-144
63.00,623,41,595,29
63.50,648,140,632,124
63.90,756,267,772,224
64.40,913,288,954,169
64.50,913,288,954,169
64.90,1016,93,981,-46
65.30,964,-130,866,-265
65.80,702,-38,625,-40
66.30,539,253,522,262
