T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
-20.70,-3783428,2804037,4287258,1,13,1.0,1501399841
-20.30,-3783425,2804038,4287254,1,13,1.0,1501399841
-19.80,-3783428,2804038,4287260,1,13,1.0,1501399841
-19.30,-3783430,2804037,4287259,1,13,1.0,1501399842
-18.90,-3783430,2804036,4287259,1,13,1.0,1501399842
-18.40,-3783431,2804036,4287262,1,13,1.0,1501399843
-18.00,-3783431,2804035,4287260,1,13,1.0,1501399843
-17.50,-3783431,2804038,4287259,1,13,1.0,1501399844
-17.00,-3783430,2804036,4287259,1,13,1.0,1501399844
-16.60,-3783431,2804036,4287257,1,13,1.0,1501399845
-16.10,-3783429,2804036,4287257,1,13,1.0,1501399845
-15.60,-3783429,2804035,4287255,1,13,1.0,1501399846
-15.20,-3783428,2804035,4287254,1,13,1.0,1501399846
-14.70,-3783428,2804037,4287255,1,13,1.0,1501399847
-14.20,-3783430,2804038,4287257,1,13,1.0,1501399847
-13.80,-3783427,2804036,4287255,1,13,1.0,1501399848
-13.70,-3783427,2804036,4287255,1,13,1.0,1501399848
-13.30,-3783427,2804035,4287255,1,13,1.0,1501399848
-12.80,-3783427,2804036,4287252,1,13,1.0,1501399848
-12.40,-3783429,2804038,4287257,1,13,1.0,1501399849
-11.90,-3783431,2804037,4287257,1,13,1.0,1501399849
-11.40,-3783428,2804036,4287252,1,13,1.0,1501399850
-11.00,-3783426,2804035,4287254,1,13,1.0,1501399850
-10.50,-3783427,2804036,4287255,1,13,1.0,1501399851
-10.10,-3783424,2804036,4287251,1,13,1.0,1501399851
-9.60,-3783427,2804038,4287250,1,13,1.0,1501399852
-9.10,-3783427,2804040,4287250,1,13,1.0,1501399852
-8.70,-3783425,2804039,4287248,1,13,1.0,1501399853
-8.60,-3783425,2804039,4287248,1,13,1.0,1501399853
-7.70,-3783426,2804039,4287251,1,13,1.0,1501399854
-7.30,-3783425,2804038,4287249,1,13,1.0,1501399854
-6.80,-3783428,2804037,4287250,1,13,1.0,1501399854
-6.30,-3783427,2804037,4287250,1,13,1.0,1501399855
-5.90,-3783426,2804038,4287253,1,13,1.0,1501399855
-5.40,-3783428,2804037,4287254,1,13,1.0,1501399856
-5.00,-3783428,2804036,4287259,1,13,1.0,1501399856
-4.50,-3783429,2804038,4287256,1,13,1.0,1501399857
-4.00,-3783427,2804037,4287255,1,13,1.0,1501399857
-3.60,-3783429,2804037,4287256,1,13,1.0,1501399858
-3.10,-3783429,2804037,4287256,1,13,1.0,1501399858
-2.60,-3783431,2804036,4287260,1,13,1.0,1501399859
-2.20,-3783429,2804036,4287260,1,13,1.0,1501399859
-1.70,-3783431,2804037,4287260,1,13,1.0,1501399860
-1.20,-3783431,2804038,4287260,1,13,1.0,1501399860
-0.80,-3783430,2804037,4287263,1,13,1.0,1501399861
0.20,-3783427,2804035,4287259,1,13,1.0,1501399861
0.60,-3783430,2804036,4287261,1,13,1.0,1501399862
1.10,-3783428,2804037,4287258,1,13,1.0,1501399862
1.50,-3783430,2804037,4287259,1,13,1.0,1501399863
2.00,-3783429,2804039,4287261,1,13,1.0,1501399863
2.50,-3783431,2804041,4287263,1,13,1.0,1501399864
2.50,-3783431,2804041,4287263,1,13,1.0,1501399864
2.90,-3783432,2804042,4287263,1,13,1.0,1501399864
3.40,-3783435,2804044,4287266,1,13,1.0,1501399865
3.50,-3783435,2804044,4287266,1,13,1.0,1501399865
3.90,-3783437,2804046,4287272,1,13,1.0,1501399865
4.30,-3783438,2804047,4287271,1,12,1.0,1501399866
4.80,-3783441,2804049,4287274,1,12,1.0,1501399866
5.30,-3783446,2804053,4287278,1,13,1.0,1501399867
5.70,-3783447,2804054,4287279,1,13,1.0,1501399867
6.20,-3783452,2804058,4287283,1,13,1.0,1501399867
6.60,-3783457,2804063,4287287,1,13,1.0,1501399868
7.10,-3783462,2804065,4287293,1,13,1.0,1501399868
7.60,-3783468,2804069,4287299,1,13,1.0,1501399869
8.00,-3783476,2804077,4287306,1,13,1.0,1501399869
8.50,-3783480,2804078,4287312,1,13,1.0,1501399870
9.00,-3783487,2804084,4287319,1,13,1.0,1501399870
9.40,-3783496,2804091,4287327,1,13,1.0,1501399871
9.90,-3783502,2804096,4287331,1,13,1.0,1501399871
10.80,-3783520,2804110,4287350,1,13,1.0,1501399872
10.90,-3783520,2804110,4287350,1,13,1.0,1501399872
11.30,-3783528,2804116,4287357,1,13,1.0,1501399873
11.80,-3783535,2804123,4287367,1,13,1.0,1501399873
11.80,-3783535,2804123,4287367,1,13,1.0,1501399873
12.70,-3783557,2804137,4287389,1,13,1.0,1501399874
13.20,-3783567,2804144,4287398,1,13,1.0,1501399874
13.60,-3783582,2804154,4287414,1,13,1.0,1501399875
14.10,-3783593,2804167,4287423,1,13,1.0,1501399875
14.60,-3783603,2804169,4287437,1,13,1.0,1501399876
15.50,-3783627,2804186,4287462,1,13,1.0,1501399877
16.00,-3783638,2804192,4287478,1,13,1.0,1501399877
16.40,-3783656,2804204,4287498,1,13,1.0,1501399878
