T[s],q0,q1,q2,q3
35.10,-0.337891,0.022461,-0.019165,0.937500
35.60,-0.558594,0.016724,-0.021484,0.824219
36.00,-0.734375,0.010193,-0.021729,0.675781
36.50,-0.867188,0.003906,-0.021729,0.494141
37.00,-0.953125,-0.004272,-0.021118,0.289062
37.40,-0.996094,-0.011475,-0.020996,0.055420
37.90,-0.976562,-0.018433,-0.019897,-0.201172
38.40,-0.890625,-0.024170,-0.017090,-0.449219
38.80,-0.730469,-0.028076,-0.011841,-0.671875
39.30,-0.515625,-0.028320,-0.005188,-0.851562
39.80,-0.255859,-0.026001,0.003906,-0.964844
40.20,0.046143,-0.022339,0.008606,-0.996094
40.70,0.351562,-0.016235,0.016724,-0.933594
41.20,0.628906,-0.007812,0.024536,-0.773438
41.60,0.839844,0.003906,0.029541,-0.539062
42.10,0.964844,0.007294,0.031250,-0.250000
42.60,0.996094,0.013306,0.029907,0.063965
43.00,0.917969,0.019653,0.024048,0.378906
43.50,0.738281,0.024414,0.013489,0.667969
43.90,0.470703,0.027344,0.003906,0.878906
44.40,0.130859,0.027344,-0.013916,0.988281
44.90,-0.224609,0.025146,-0.025391,0.972656
45.30,-0.558594,0.020386,-0.033691,0.828125
45.80,-0.824219,0.012024,-0.037109,0.562500
46.30,-0.976562,-0.003906,-0.034180,0.216797
46.70,-0.980469,-0.014038,-0.025146,-0.183594
47.70,-0.535156,-0.038086,0.004517,-0.839844
48.10,-0.161133,-0.042236,0.017700,-0.984375
48.60,0.257812,-0.038574,0.026367,-0.964844
49.00,0.628906,-0.026611,0.028320,-0.773438
49.50,0.886719,-0.007324,0.026245,-0.460938
50.00,0.996094,0.017456,0.023071,-0.050049
50.40,0.929688,0.040771,0.017212,0.363281
50.90,0.699219,0.054443,0.010986,0.710938
51.40,0.373047,0.052734,0.005432,0.925781
51.80,-0.018433,0.039795,-0.003906,0.996094
52.30,-0.414062,0.018677,-0.014282,0.906250
52.80,-0.746094,-0.005859,-0.028442,0.660156
53.20,-0.972656,-0.028564,-0.039062,0.226562
53.70,-0.925781,-0.047363,-0.035889,-0.363281
54.20,-0.519531,-0.053223,-0.018188,-0.847656
54.60,0.116211,-0.036865,0.006897,-0.992188
55.10,0.667969,-0.003906,0.029785,-0.738281
55.60,0.976562,0.029907,0.042969,-0.195312
56.00,0.863281,0.050049,0.035645,0.494141
56.50,0.269531,0.046631,0.005005,0.960938
57.00,-0.474609,0.014465,-0.028687,0.878906
57.40,-0.937500,-0.024048,-0.048340,0.335938
57.90,-0.886719,-0.049805,-0.041748,-0.451172
58.40,-0.156250,-0.047119,0.003906,-0.984375
58.80,0.656250,-0.005829,0.036621,-0.750000
58.90,0.656250,-0.005829,0.036621,-0.750000
59.30,0.996094,0.036865,0.046631,-0.017944
59.80,0.632812,0.058105,0.019653,0.769531
60.20,-0.206055,0.036133,-0.025146,0.976562
60.70,-0.875000,-0.010803,-0.054443,0.474609
61.20,-0.902344,-0.049072,-0.043701,-0.421875
61.60,-0.139648,-0.043213,0.003906,-0.988281
62.10,0.722656,-0.003906,0.043213,-0.683594
62.60,0.968750,0.048096,0.046387,0.234375
63.00,0.302734,0.056396,0.003906,0.949219
63.50,-0.578125,0.018311,-0.043213,0.812500
63.90,-0.992188,-0.025879,-0.063477,0.096680
64.40,-0.652344,-0.044678,-0.039551,-0.750000
64.50,-0.652344,-0.044678,-0.039551,-0.750000
64.90,0.310547,-0.016846,0.015747,-0.949219
65.30,0.984375,0.041992,0.043213,-0.145508
65.80,0.597656,0.068848,0.014038,0.781250
66.30,-0.232422,0.043701,-0.034912,0.968750
