T[s],barometer[Pa],wx[dps],wy[dps],wz[dps],ax[g],ay[g],az[g]
-21.00,101190,0.011692,-0.027603,0.007812,0.000576,0.006027,1.002930
-20.50,101190,-0.007812,0.010281,0.007812,0.000184,0.005985,1.002930
-20.00,101190,0.021561,-0.019188,-0.007812,0.000167,0.006210,1.002930
-19.60,101190,-0.007812,0.009853,0.018311,-0.000139,0.005939,1.002930
-18.60,101190,-0.012253,0.007812,-0.012699,0.000195,0.006134,1.002930
-18.20,101190,0.014740,0.013702,0.015308,-0.000130,0.005856,1.002930
-17.70,101190,0.007812,-0.022240,-0.007812,0.000298,0.005768,1.002930
-17.20,101180,-0.007812,0.007812,0.007812,0.000355,0.006119,1.002930
-16.80,101190,-0.008663,-0.018143,0.007812,0.000328,0.005863,1.002930
-16.30,101190,0.023354,-0.012497,-0.007812,0.000173,0.005924,1.002930
-15.90,101190,-0.014797,-0.007812,-0.009033,0.000055,0.005928,1.002930
-15.40,101190,-0.008102,-0.007812,-0.007812,-0.000063,0.005806,1.002930
-14.90,101190,0.014786,-0.022430,-0.007812,0.000222,0.005779,1.002930
-14.50,101190,-0.007812,-0.007812,-0.010593,0.000273,0.005760,1.002930
-14.00,101190,0.012730,0.013615,-0.007812,-0.000008,0.006023,1.002930
-13.50,101190,0.030029,-0.030304,0.020546,0.000198,0.005814,1.002930
-13.10,101190,-0.029884,-0.007812,0.010845,0.000104,0.006203,1.002930
-12.60,101190,0.013161,-0.007812,-0.007812,0.000016,0.005985,1.002930
-12.10,101190,-0.007812,-0.011150,0.013081,-0.000101,0.006424,1.002930
-11.70,101190,-0.008942,0.024651,-0.007812,0.000081,0.006012,1.001953
-11.20,101190,0.007812,-0.010193,-0.018539,-0.000144,0.006207,1.002930
-10.70,101190,0.007812,0.024872,-0.010654,0.000059,0.006073,1.002930
-10.30,101190,0.016518,-0.007812,-0.007812,0.000066,0.006088,1.002930
-9.80,101190,-0.015339,-0.007812,0.007812,0.000051,0.005913,1.002930
-9.40,101190,-0.014275,0.007812,0.009319,0.000851,0.005482,1.002930
-8.90,101190,-0.008850,0.007812,0.007812,-0.000667,0.006493,1.002930
-8.40,101190,-0.024872,0.029343,0.015270,-0.001261,0.005413,1.002930
-8.00,101190,0.026901,0.009285,0.007812,0.000950,0.006413,1.002930
