T[s],P0[MPa],P1[MPa],P2[MPa],P3[MPa],P4[MPa],P5[MPa]
-20.99,26.93,2.642,3.457,2.896,0.005,27.28
-20.60,26.93,2.642,3.457,2.889,0.005,27.28
-17.30,26.95,2.642,3.457,2.871,0.005,27.28
-16.30,26.95,2.642,3.457,2.871,0.005,27.26
-15.99,26.95,2.642,3.457,2.864,0.005,27.26
-15.40,26.95,2.642,3.457,2.864,0.005,27.28
-13.60,26.95,2.642,3.457,2.858,0.011,27.28
-13.10,26.95,2.642,3.457,2.858,0.011,27.28
-10.70,26.98,2.642,3.457,2.852,0.011,27.23
-9.40,26.98,2.642,3.457,2.846,0.011,27.26
-8.90,26.95,2.642,3.457,2.846,0.005,27.26
-8.40,26.98,2.636,3.457,2.846,0.005,27.26
-7.99,26.98,2.636,3.457,2.846,0.005,27.26
-4.70,26.85,2.473,2.875,2.789,0.011,27.28
-3.40,26.50,2.504,2.768,2.645,0.005,27.23
-2.00,26.13,2.530,2.743,2.613,0.005,27.23
-1.50,26.00,2.536,2.749,2.607,0.011,27.23
-0.70,25.75,2.548,2.737,2.601,0.011,27.23
-0.09,25.62,2.561,2.737,2.601,0.011,27.23
0.80,25.37,2.536,2.731,2.582,0.011,27.23
2.70,24.75,2.128,2.825,2.714,1.088,26.96
3.60,24.45,2.116,2.862,2.751,1.063,26.88
4.10,24.32,2.116,2.868,2.764,1.069,26.88
4.60,24.17,2.110,2.875,2.770,1.069,26.83
4.91,24.02,2.116,2.887,2.776,1.051,26.83
6.40,23.62,2.110,2.906,2.808,1.082,26.76
7.30,23.32,2.116,2.912,2.814,1.044,26.66
7.80,23.19,2.116,2.919,2.814,1.094,26.68
10.10,22.54,2.122,2.931,2.827,1.076,26.43
11.00,22.29,2.128,2.937,2.833,1.094,26.38
13.30,21.64,2.135,2.937,2.839,1.076,26.23
15.30,21.13,2.147,2.944,2.846,1.082,25.88
16.10,20.88,2.141,2.950,2.852,1.076,25.63
16.61,20.78,2.147,2.956,2.852,1.076,25.50
17.10,20.66,2.147,2.956,2.858,1.076,25.40
18.41,20.28,2.141,2.969,2.871,1.082,25.05
19.80,19.93,2.154,2.975,2.883,1.094,24.67
20.80,19.68,2.154,2.987,2.889,1.082,24.37
21.30,19.58,2.160,2.987,2.889,1.088,24.25
22.70,19.23,2.160,2.994,2.902,1.094,24.00
24.00,18.90,2.166,3.006,2.908,1.088,23.64
25.90,18.47,2.166,3.012,2.921,1.107,23.17
26.80,18.25,2.166,3.012,2.921,1.076,22.94
28.30,17.92,2.166,3.025,2.927,1.094,22.59
31.00,17.27,2.172,3.038,2.946,1.088,21.91
34.30,16.54,2.179,3.050,2.965,1.094,21.14
35.60,16.24,2.179,3.056,2.971,1.094,20.81
37.10,15.96,2.179,3.063,2.984,1.107,20.48
39.00,15.56,2.179,3.069,2.990,1.088,20.18
40.30,15.29,2.179,3.075,2.990,1.082,19.88
41.70,14.99,2.172,3.075,2.996,1.094,19.55
43.00,14.71,2.179,3.081,3.009,1.076,19.23
44.50,14.43,2.179,3.088,3.009,1.069,18.93
45.80,14.13,2.172,3.094,3.015,1.069,18.63
52.40,12.88,2.172,3.100,3.028,1.063,17.30
55.11,12.35,2.166,3.100,3.028,1.032,16.77
64.10,10.77,2.147,3.088,3.021,1.038,15.11
66.40,10.37,2.147,3.081,3.015,1.007,14.61
