T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
-20.90,-3783426,2804037,4287265,1,11,1.1,1501399840
-19.50,-3783426,2804038,4287259,1,11,1.1,1501399841
-18.50,-3783428,2804036,4287265,1,11,1.1,1501399842
-14.80,-3783426,2804035,4287261,1,11,1.1,1501399846
-14.30,-3783425,2804037,4287261,1,11,1.1,1501399846
-13.89,-3783426,2804038,4287262,1,11,1.1,1501399847
-11.09,-3783428,2804037,4287269,1,11,1.1,1501399850
-10.60,-3783427,2804039,4287267,1,11,1.1,1501399850
-9.80,-3783425,2804039,4287263,1,11,1.1,1501399851
-8.20,-3783426,2804037,4287269,1,11,1.1,1501399853
-6.90,-3783426,2804037,4287267,1,11,1.1,1501399854
-6.40,-3783426,2804039,4287269,1,11,1.1,1501399854
-5.49,-3783427,2804036,4287267,1,11,1.1,1501399855
-4.50,-3783427,2804037,4287263,1,11,1.1,1501399856
-4.20,-3783426,2804037,4287263,1,11,1.1,1501399857
-0.80,-3783424,2804034,4287260,1,11,1.1,1501399860
-0.50,-3783421,2804033,4287256,1,11,1.1,1501399860
0.50,-3783422,2804035,4287262,1,11,1.1,1501399861
1.41,-3783423,2804036,4287261,1,11,1.1,1501399862
5.11,-3783436,2804048,4287272,1,11,1.1,1501399866
6.10,-3783444,2804052,4287281,1,11,1.1,1501399867
7.50,-3783456,2804063,4287289,1,11,1.1,1501399868
7.91,-3783462,2804068,4287296,1,11,1.1,1501399869
10.30,-3783492,2804089,4287329,1,11,1.1,1501399871
10.71,-3783502,2804098,4287337,1,11,1.1,1501399872
12.10,-3783529,2804118,4287365,1,11,1.1,1501399873
13.00,-3783546,2804130,4287384,1,11,1.1,1501399874
13.51,-3783560,2804139,4287397,1,11,1.1,1501399874
14.10,-3783569,2804145,4287411,1,11,1.1,1501399875
14.50,-3783579,2804155,4287420,1,11,1.1,1501399875
14.91,-3783596,2804167,4287437,1,11,1.1,1501399876
16.40,-3783640,2804196,4287483,1,11,1.1,1501399877
22.32,-3783876,2804346,4287727,1,11,1.1,1501399883
22.81,-3783897,2804359,4287748,1,11,1.1,1501399884
24.11,-3783969,2804406,4287826,1,11,1.1,1501399885
25.60,-3784051,2804457,4287909,1,10,1.3,1501399886
29.80,-3784330,2804633,4288202,1,11,1.1,1501399891
31.60,-3784468,2804724,4288341,1,11,1.1,1501399892
33.91,-3784674,2804852,4288555,1,11,1.1,1501399895
35.40,-3784806,2804936,4288695,1,11,1.1,1501399896
36.80,-3784940,2805024,4288835,1,11,1.1,1501399898
39.51,-3785241,2805215,4289153,1,11,1.1,1501399900
40.90,-3785406,2805319,4289325,1,11,1.1,1501399902
44.70,-3785866,2805617,4289812,1,11,1.1,1501399905
45.10,-3785951,2805669,4289898,1,11,1.1,1501399906
47.90,-3786363,2805933,4290328,1,11,1.1,1501399909
55.30,-3787687,2806735,4291682,1,11,1.1,1501399916
57.20,-3788060,2806956,4292055,1,11,1.1,1501399918
60.00,-3788683,2807320,4292664,1,11,1.1,1501399921
61.40,-3789017,2807507,4292985,1,11,1.1,1501399922
62.90,-3789363,2807696,4293314,1,11,1.1,1501399924
65.60,-3790101,2808089,4294006,1,11,1.1,1501399926
66.90,-3790491,2808291,4294364,1,11,1.1,1501399928
