T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s]
-20.70,-3783430,2804036,4287262,0,0,0
-20.30,-3783428,2804038,4287269,0,0,0
-20.10,-3783428,2804037,4287258,0,0,0
-19.80,-3783426,2804038,4287262,0,0,0
-19.40,-3783429,2804038,4287260,0,0,0
-18.50,-3783428,2804036,4287265,0,0,0
-18.00,-3783427,2804036,4287265,0,0,0
-17.50,-3783426,2804036,4287260,0,0,0
-17.50,-3783431,2804035,4287260,0,0,0
-16.60,-3783425,2804037,4287260,0,0,0
-16.10,-3783427,2804037,4287260,0,0,0
-16.00,-3783431,2804036,4287257,0,0,0
-14.70,-3783428,2804035,4287254,0,0,0
-14.30,-3783425,2804038,4287261,0,0,0
-14.10,-3783428,2804037,4287255,0,0,0
-13.80,-3783426,2804038,4287262,0,0,0
-13.80,-3783428,2804037,4287255,0,0,0
-13.40,-3783425,2804038,4287261,0,0,0
-13.20,-3783427,2804036,4287255,0,0,0
-12.80,-3783427,2804035,4287255,0,0,0
-12.30,-3783426,2804036,4287256,0,0,0
-11.80,-3783429,2804038,4287257,0,0,0
-11.00,-3783427,2804036,4287252,0,0,0
-10.40,-3783426,2804037,4287254,0,0,0
-10.10,-3783426,2804038,4287265,0,0,0
-9.50,-3783425,2804039,4287263,0,0,0
-9.20,-3783426,2804037,4287265,0,0,0
-9.00,-3783427,2804038,4287250,0,0,0
-8.70,-3783426,2804037,4287268,0,0,0
-8.60,-3783427,2804040,4287250,0,0,0
-8.20,-3783426,2804037,4287269,0,0,0
-8.10,-3783425,2804039,4287248,0,0,0
-5.90,-3783427,2804037,4287266,0,0,0
-5.80,-3783427,2804037,4287250,0,0,0
-5.48,-3783427,2804036,4287267,0,0,0
-5.40,-3783426,2804038,4287253,0,0,0
-4.80,-3783428,2804037,4287254,0,0,0
-4.50,-3783427,2804037,4287263,0,0,0
-4.00,-3783426,2804037,4287263,0,0,0
-3.10,-3783425,2804036,4287262,0,0,0
-2.70,-3783425,2804036,4287264,0,0,0
-2.50,-3783429,2804037,4287256,0,0,0
-2.10,-3783423,2804035,4287262,0,0,0
-1.80,-3783423,2804034,4287260,0,0,0
-1.30,-3783425,2804034,4287263,0,0,0
-0.40,-3783430,2804037,4287263,0,0,0
0.10,-3783421,2804035,4287258,0,0,0
0.50,-3783422,2804035,4287262,0,0,0
0.60,-3783428,2804036,4287258,0,0,0
1.10,-3783421,2804034,4287259,0,0,0
1.20,-3783430,2804036,4287261,0,0,0
2.00,-3783425,2804040,4287264,0,0,0
2.01,-3783430,2804037,4287259,0,0,0
3.40,-3783427,2804041,4287264,0,0,0
3.50,-3783432,2804042,4287263,0,0,0
3.90,-3783430,2804041,4287267,0,0,0
3.90,-3783435,2804045,4287267,0,0,0
4.20,-3783433,2804044,4287266,0,0,0
4.40,-3783437,2804046,4287272,0,0,0
4.80,-3783434,2804046,4287268,0,0,0
5.80,-3783446,2804053,4287278,0,0,0
6.60,-3783448,2804057,4287286,0,0,0
6.70,-3783454,2804059,4287286,0,0,0
7.10,-3783451,2804059,4287288,0,0,0
7.20,-3783457,2804063,4287287,0,0,0
7.60,-3783462,2804065,4287293,0,0,0
8.20,-3783471,2804072,4287303,0,0,0
8.60,-3783476,2804077,4287306,0,0,0
9.81,-3783487,2804086,4287321,0,0,0
9.90,-3783496,2804091,4287327,0,0,0
10.30,-3783496,2804091,4287333,0,0,0
10.50,-3783502,2804096,4287331,0,0,0
10.80,-3783514,2804104,4287344,0,0,0
11.30,-3783509,2804103,4287346,0,0,0
11.30,-3783520,2804110,4287350,0,0,0
14.10,-3783569,2804145,4287411,0,0,0
14.50,-3783585,2804160,4287424,0,0,0
15.00,-3783596,2804167,4287437,0,0,0
15.01,-3783608,2804172,4287445,0,0,0
15.90,-3783628,2804189,4287477,0,0,0
16.40,-3783640,2804196,4287483,0,0,0
16.60,-3783638,2804192,4287478,0,0,0
16.90,-3783656,2804204,4287498,0,0,0
17.80,-3783686,2804224,4287531,0,0,0
17.90,-3783692,2804224,4287526,0,0,0
19.20,-3783737,2804256,4287586,-38,25,40
20.60,-3783793,2804292,4287642,-42,27,44
21.10,-3783813,2804305,4287663,-44,28,45
21.11,-3783822,2804312,4287668,-44,28,46
21.90,-3783857,2804333,4287710,-47,30,48
22.90,-3783913,2804367,4287762,-50,32,52
23.21,-3783928,2804377,4287781,-51,32,53
27.70,-3784173,2804534,4288036,-65,41,68
28.00,-3784206,2804554,4288069,-66,42,69
28.60,-3784241,2804578,4288107,-69,44,71
29.00,-3784270,2804597,4288133,-70,45,73
29.40,-3784301,2804614,4288170,-72,45,75
29.60,-3784315,2804625,4288163,-72,46,74
30.80,-3784404,2804683,4288276,-77,49,80
31.90,-3784487,2804735,4288354,-81,51,83
33.30,-3784602,2804807,4288484,-86,55,89
33.70,-3784637,2804829,4288514,-88,56,91
34.00,-3784674,2804852,4288555,-89,57,93
34.20,-3784689,2804865,4288570,-90,57,94
34.60,-3784729,2804887,4288607,-91,58,96
34.90,-3784767,2804912,4288651,-93,59,97
35.50,-3784806,2804936,4288695,-95,60,99
35.90,-3784864,2804973,4288754,-97,62,102
36.80,-3784940,2805024,4288835,-100,64,106
37.40,-3785005,2805065,4288898,-103,65,108
