T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s]
39.60,-3785241,2805215,4289153,-113,71,119
40.10,-3785287,2805244,4289202,-114,72,121
40.20,-3785308,2805258,4289218,-115,73,122
41.00,-3785406,2805319,4289325,-119,75,125
41.10,-3785427,2805337,4289352,-120,76,127
41.50,-3785478,2805366,4289401,-121,78,128
44.20,-3785813,2805585,4289751,-134,86,141
45.20,-3785951,2805669,4289898,-139,89,146
45.70,-3786036,2805724,4289991,-142,91,149
46.20,-3786094,2805759,4290050,-145,92,151
49.00,-3786522,2806028,4290497,-161,100,166
51.30,-3786930,2806278,4290915,-175,107,179
52.30,-3787071,2806365,4291052,-181,109,184
53.60,-3787332,2806525,4291329,-189,114,192
55.10,-3787606,2806689,4291597,-199,118,199
59.20,-3788499,2807214,4292481,-226,130,221
60.70,-3788824,2807399,4292797,-235,133,228
61.10,-3788969,2807481,4292935,-239,133,231
65.60,-3790101,2808089,4294006,-271,142,253
