T[s],q0,q1,q2,q3
-21.00,0.996094,0.003906,0.003906,-0.003906
-20.70,0.996094,0.003906,0.003906,-0.003906
-20.09,0.996094,0.003906,0.003906,-0.003906
-19.10,0.996094,0.003906,0.003906,-0.003906
-17.30,0.996094,0.003906,0.003906,-0.003906
-16.80,0.996094,0.003906,0.003906,-0.003906
-16.40,0.996094,0.003906,0.003906,-0.003906
-16.00,0.996094,0.003906,0.003906,-0.003906
-15.40,0.996094,0.003906,0.003906,-0.003906
-15.00,0.996094,0.003906,0.003906,-0.003906
-14.70,0.996094,0.003906,-0.003906,0.003906
-14.10,0.996094,0.003906,-0.003906,-0.003906
-13.60,0.996094,0.003906,-0.003906,-0.003906
-11.80,0.996094,0.003906,-0.003906,-0.003906
-11.30,0.996094,0.003906,-0.003906,-0.003906
-11.00,0.996094,0.003906,-0.003906,-0.003906
-10.40,0.996094,0.003906,-0.003906,-0.003906
-9.90,0.996094,0.003906,-0.003906,-0.003906
-9.40,0.996094,0.003906,-0.003906,-0.003906
-9.00,0.996094,0.003906,-0.003906,-0.003906
-8.00,0.996094,-0.003906,-0.003906,-0.003906
-7.60,0.996094,0.003906,-0.003906,-0.003906
-7.10,0.996094,0.003906,-0.003906,-0.003906
-6.70,0.996094,0.003906,-0.003906,-0.003906
-6.20,0.996094,0.003906,-0.003906,-0.003906
-5.70,0.996094,-0.003906,-0.003906,-0.003906
-4.80,0.996094,0.003906,-0.003906,-0.003906
-3.50,0.996094,-0.003906,-0.003906,-0.003906
-2.40,0.996094,-0.003906,0.003906,-0.003906
-2.00,0.996094,-0.003906,0.003906,-0.003906
-1.70,0.996094,-0.003906,0.003906,-0.003906
-0.70,0.996094,-0.003906,0.003906,-0.003906
-0.10,0.996094,-0.003906,0.003906,-0.003906
1.20,0.996094,0.003906,0.003906,0.003906
2.20,0.996094,0.005463,-0.003906,0.016602
3.00,0.996094,0.013428,-0.003906,0.003906
3.60,0.996094,0.013245,-0.003906,0.004517
4.90,0.996094,0.007935,0.003906,0.003906
5.40,0.996094,0.005859,0.003906,0.003906
5.90,0.996094,0.004181,0.003906,-0.003906
7.30,0.996094,0.003906,0.003906,-0.011414
8.20,0.996094,0.003906,0.006226,-0.014404
8.60,0.996094,0.003906,0.007690,-0.016968
10.00,0.996094,0.005371,0.011047,-0.016846
10.50,0.996094,0.005676,0.011780,-0.017334
11.00,0.996094,0.006195,0.012573,-0.015747
11.40,0.996094,0.006561,0.013672,-0.015991
12.30,0.996094,0.007355,0.015991,-0.014221
12.90,0.996094,0.007935,0.016968,-0.010437
13.70,0.996094,0.008423,0.019775,-0.003906
14.20,0.996094,0.008240,0.022217,0.003906
14.70,0.996094,0.008545,0.024536,0.035645
15.60,0.957031,0.015625,0.024536,0.277344
16.00,0.882812,0.020630,0.018799,0.462891
16.60,0.757812,0.024170,0.011414,0.648438
17.00,0.574219,0.027222,0.004974,0.816406
18.40,-0.261719,0.023315,-0.015015,0.960938
22.10,-0.984375,-0.007172,-0.025879,0.159180
23.10,-0.996094,-0.008301,-0.025391,0.020386
23.50,-0.996094,-0.009399,-0.025024,-0.076172
24.40,-0.945312,-0.013794,-0.020996,-0.316406
26.30,-0.535156,-0.023682,-0.003906,-0.843750
28.70,0.375000,-0.020142,0.014893,-0.925781
29.01,0.539062,-0.014099,0.017334,-0.839844
31.40,0.992188,0.010681,0.027222,-0.107422
31.91,0.996094,0.012634,0.025879,0.077148
32.40,0.960938,0.014160,0.023071,0.259766
33.70,0.628906,0.021240,0.005157,0.773438
34.30,0.427734,0.023926,-0.003906,0.902344
34.60,0.182617,0.025513,-0.008118,0.980469
35.10,-0.079102,0.025269,-0.014099,0.996094
37.40,-0.953125,-0.004272,-0.021118,0.289062
38.00,-0.996094,-0.011475,-0.020996,0.055420
38.80,-0.890625,-0.024170,-0.017090,-0.449219
40.30,-0.255859,-0.026001,0.003906,-0.964844
41.70,0.628906,-0.007812,0.024536,-0.773438
44.90,0.130859,0.027344,-0.013916,0.988281
45.40,-0.224609,0.025146,-0.025391,0.972656
46.30,-0.824219,0.012024,-0.037109,0.562500
48.10,-0.535156,-0.038086,0.004517,-0.839844
52.31,-0.018433,0.039795,-0.003906,0.996094
55.10,0.116211,-0.036865,0.006897,-0.992188
55.60,0.667969,-0.003906,0.029785,-0.738281
57.00,0.269531,0.046631,0.005005,0.960938
59.40,0.656250,-0.005829,0.036621,-0.750000
60.70,-0.206055,0.036133,-0.025146,0.976562
62.00,-0.139648,-0.043213,0.003906,-0.988281
63.50,0.302734,0.056396,0.003906,0.949219
