# T[s],barometer[Pa],temp[C]
-38.093,101194,30.3
-37.993,101192,30.2
-37.893,101196,30.3
-37.792,101192,30.3
-37.694,101192,30.3
-37.594,101196,30.3
-37.494,101194,30.3
-37.393,101195,30.3
-37.293,101195,30.3
-37.193,101190,30.2
-37.094,101193,30.2
-36.993,101192,30.2
-36.894,101194,30.2
-36.791,101195,30.3
-36.691,101192,30.3
-36.594,101192,30.3
-36.494,101195,30.3
-36.394,101192,30.3
-36.293,101192,30.2
-36.194,101192,30.3
-36.094,101188,30.3
-35.994,101190,30.2
-35.893,101194,30.3
-35.791,101193,30.3
-35.692,101192,30.3
-35.594,101193,30.2
-35.494,101193,30.3
-35.394,101194,30.3
-35.293,101196,30.3
-35.194,101195,30.2
-35.094,101194,30.3
-34.993,101195,30.3
-34.893,101193,30.3
-34.788,101193,30.3
-34.693,101195,30.3
-34.594,101190,30.2
-34.489,101191,30.2
-34.394,101193,30.3
-34.293,101192,30.2
-34.193,101195,30.3
-34.093,101195,30.3
-33.994,101195,30.3
-33.888,101190,30.2
-33.792,101192,30.2
-33.694,101192,30.2
-33.594,101190,30.2
-33.493,101192,30.3
-33.392,101192,30.2
-33.294,101194,30.2
-33.193,101193,30.3
-33.093,101191,30.3
-32.993,101191,30.3
-32.893,101190,30.3
-32.792,101190,30.2
-32.694,101191,30.3
-32.594,101191,30.3
-32.494,101193,30.3
-32.394,101191,30.3
-32.293,101193,30.3
-32.194,101193,30.3
-32.094,101193,30.2
-31.994,101192,30.3
-31.893,101192,30.3
-31.791,101192,30.3
-31.693,101196,30.3
-31.593,101192,30.3
-31.493,101191,30.2
-31.394,101191,30.2
-31.294,101192,30.3
-31.194,101192,30.2
-31.094,101193,30.3
-30.994,101194,30.3
-30.894,101193,30.3
-30.792,101192,30.3
-30.693,101194,30.3
-30.594,101193,30.3
-30.493,101193,30.3
-30.393,101193,30.3
-30.294,101192,30.3
-30.194,101192,30.3
-30.094,101196,30.3
-29.993,101195,30.3
-29.888,101191,30.3
-29.791,101192,30.3
-29.693,101191,30.3
-29.592,101191,30.3
-29.493,101191,30.3
-29.393,101193,30.3
-29.293,101193,30.3
-29.193,101195,30.3
-29.094,101195,30.3
-28.994,101194,30.3
-28.894,101194,30.3
-28.790,101196,30.3
-28.693,101194,30.3
-28.593,101195,30.3
-28.489,101193,30.3
-28.394,101196,30.3
-28.293,101194,30.3
-28.193,101194,30.3
-28.093,101192,30.3
-27.993,101192,30.3
-27.893,101189,30.3
-27.791,101193,30.3
-27.693,101194,30.3
-27.594,101189,30.3
-27.494,101192,30.3
-27.393,101196,30.3
-27.293,101194,30.3
-27.194,101191,30.3
-27.092,101190,30.3
-26.994,101194,30.3
-26.894,101191,30.3
-26.793,101192,30.3
-26.694,101193,30.3
-26.594,101192,30.3
-26.494,101192,30.3
-26.394,101192,30.3
-26.293,101191,30.3
-26.193,101190,30.3
-26.093,101191,30.3
-25.994,101192,30.3
-25.894,101193,30.3
-25.793,101193,30.3
-25.693,101193,30.3
-25.589,101192,30.3
-25.493,101191,30.3
-25.392,101191,30.3
-25.294,101191,30.3
-25.192,101191,30.3
-25.094,101194,30.3
-24.994,101193,30.3
-24.893,101193,30.3
-24.792,101193,30.3
-24.694,101196,30.3
-24.594,101196,30.3
-24.494,101193,30.3
-24.394,101193,30.3
-24.293,101194,30.3
-24.193,101191,30.3
-24.094,101193,30.3
-23.993,101193,30.3
-23.892,101195,30.3
-23.793,101192,30.3
-23.693,101193,30.3
-23.593,101195,30.3
-23.494,101193,30.3
-23.394,101195,30.3
-23.294,101194,30.3
-23.194,101192,30.3
-23.093,101193,30.3
-22.992,101191,30.3
-22.893,101190,30.3
-22.792,101189,30.3
-22.694,101193,30.3
-22.593,101196,30.3
-22.486,101193,30.3
-22.393,101192,30.3
-22.290,101191,30.3
-22.193,101191,30.3
-22.090,101192,30.3
-21.994,101194,30.3
-21.893,101192,30.3
-21.792,101191,30.3
-21.690,101194,30.3
-21.593,101195,30.3
-21.494,101193,30.3
-21.393,101194,30.3
-21.293,101190,30.3
-21.193,101192,30.3
-21.093,101192,30.3
-20.994,101194,30.3
-20.894,101193,30.3
-20.792,101195,30.3
-20.693,101191,30.3
-20.593,101191,30.3
-20.493,101191,30.3
-20.392,101194,30.3
-20.294,101194,30.3
-20.194,101192,30.3
-20.094,101191,30.3
-19.993,101192,30.3
-19.893,101192,30.3
-19.787,101194,30.3
-19.692,101195,30.3
-19.592,101193,30.3
-19.493,101192,30.3
-19.391,101195,30.3
-19.293,101194,30.3
-19.193,101191,30.3
-19.089,101194,30.3
-18.994,101193,30.3
-18.894,101191,30.3
-18.793,101196,30.3
-18.693,101192,30.3
-18.592,101195,30.3
-18.493,101194,30.3
-18.393,101193,30.3
-18.292,101193,30.3
-18.193,101192,30.3
-18.093,101193,30.3
-17.993,101192,30.3
-17.893,101192,30.3
-17.793,101190,30.3
-17.690,101193,30.3
-17.591,101195,30.3
-17.493,101189,30.3
-17.393,101191,30.3
-17.293,101192,30.3
-17.193,101193,30.3
-17.094,101188,30.3
-16.994,101190,30.3
-16.893,101193,30.3
-16.792,101193,30.3
-16.693,101190,30.3
-16.592,101190,30.3
-16.492,101192,30.3
-16.393,101193,30.3
-16.291,101192,30.3
-16.192,101195,30.3
-16.093,101194,30.3
-15.993,101195,30.3
-15.894,101191,30.3
-15.791,101191,30.3
-15.693,101191,30.3
-15.593,101190,30.3
-15.494,101188,30.3
-15.394,101187,30.3
-15.293,101192,30.3
-15.193,101192,30.3
-15.093,101191,30.3
-14.993,101194,30.3
-14.893,101192,30.3
-14.792,101193,30.3
-14.694,101192,30.3
-14.586,101188,30.3
-14.493,101194,30.3
-14.387,101193,30.3
-14.290,101191,30.3
-14.193,101193,30.3
-14.094,101195,30.3
-13.992,101192,30.3
-13.893,101196,30.3
-13.791,101198,30.3
-13.692,101193,30.3
-13.593,101197,30.3
-13.488,101196,30.3
-13.394,101193,30.3
-13.293,101194,30.3
-13.193,101193,30.3
-13.093,101195,30.3
-12.992,101193,30.3
-12.893,101196,30.3
-12.791,101192,30.3
-12.694,101194,30.3
-12.593,101198,30.3
-12.493,101195,30.3
-12.394,101193,30.3
-12.294,101192,30.3
-12.193,101192,30.3
-12.092,101191,30.3
-11.992,101193,30.3
-11.893,101193,30.3
-11.790,101197,30.3
-11.693,101195,30.3
-11.593,101193,30.3
-11.493,101195,30.3
-11.393,101193,30.3
-11.293,101193,30.3
-11.193,101193,30.3
-11.092,101191,30.3
-10.992,101193,30.3
-10.893,101190,30.3
-10.791,101192,30.3
-10.693,101193,30.3
-10.593,101195,30.3
-10.493,101192,30.3
-10.393,101194,30.3
-10.293,101192,30.3
-10.193,101192,30.3
-10.093,101194,30.3
-9.993,101196,30.3
-9.893,101192,30.3
-9.793,101193,30.3
-9.694,101194,30.3
-9.593,101196,30.3
-9.493,101193,30.3
-9.391,101194,30.3
-9.293,101194,30.3
-9.192,101195,30.3
-9.092,101196,30.3
-8.993,101194,30.3
-8.888,101193,30.3
-8.791,101193,30.3
-8.692,101190,30.3
-8.593,101192,30.2
-8.494,101195,30.3
-8.394,101193,30.3
-8.293,101192,30.3
-8.193,101196,30.3
-8.093,101197,30.3
-7.993,101196,30.3
-7.894,101196,30.3
-7.791,101195,30.3
-7.693,101196,30.3
-7.592,101196,30.3
-7.493,101193,30.3
-7.393,101198,30.3
-7.294,101199,30.3
-7.194,101196,30.3
-7.092,101195,30.3
-6.993,101196,30.3
-6.893,101193,30.3
-6.791,101195,30.3
-6.692,101195,30.3
-6.593,101194,30.3
-6.493,101194,30.3
-6.393,101194,30.3
-6.293,101196,30.3
-6.193,101197,30.3
-6.094,101198,30.3
-5.994,101199,30.3
-5.893,101197,30.3
-5.786,101194,30.3
-5.693,101195,30.3
-5.591,101195,30.3
-5.492,101198,30.3
-5.392,101195,30.3
-5.293,101195,30.3
-5.193,101195,30.3
-5.093,101195,30.3
-4.993,101194,30.3
-4.893,101193,30.3
-4.790,101196,30.3
-4.693,101197,30.3
-4.588,101196,30.3
-4.493,101190,30.3
-4.393,101194,30.3
-4.293,101191,30.3
-4.192,101196,30.3
-4.093,101196,30.3
-3.993,101196,30.3
-3.893,101195,30.3
-3.792,101196,30.3
-3.693,101195,30.3
-3.592,101196,30.3
-3.494,101196,30.3
-3.393,101195,30.3
-3.293,101201,30.3
-3.193,101196,30.3
-3.088,101196,30.3
-2.994,101194,30.3
-2.891,101198,30.3
-2.791,101198,30.3
-2.691,101193,30.3
-2.593,101194,30.3
-2.493,101197,30.3
-2.393,101197,30.3
-2.294,101194,30.3
-2.193,101198,30.3
-2.093,101194,30.3
-1.993,101194,30.3
-1.892,101197,30.3
-1.783,101195,30.3
-1.692,101191,30.3
-1.593,101191,30.3
-1.493,101196,30.3
-1.393,101193,30.3
-1.293,101196,30.3
-1.193,101194,30.3
-1.093,101193,30.3
-0.993,101195,30.3
-0.893,101192,30.3
-0.791,101195,30.3
-0.693,101196,30.3
-0.593,101194,30.3
-0.494,101193,30.3
-0.393,101193,30.3
-0.293,101195,30.3
-0.193,101193,30.3
-0.093,101195,30.3
0.008,101195,30.3
0.108,101193,30.3
0.209,101196,30.3
0.307,101195,30.3
0.407,101196,30.3
0.508,101195,30.3
0.613,101194,30.3
0.710,101194,30.3
0.810,101302,30.3
0.907,101169,30.3
1.007,101164,30.3
1.107,101200,30.3
1.209,101179,30.3
1.306,101179,30.3
1.407,101172,30.3
1.508,101165,30.3
1.607,101165,30.3
1.712,101170,30.3
1.808,101173,30.3
1.908,101161,30.3
2.008,101173,30.3
2.108,101159,30.3
2.209,101155,30.3
2.307,101157,30.3
2.407,101143,30.3
2.507,101134,30.3
2.607,101136,30.3
2.708,101127,30.3
2.807,101128,30.3
2.907,101116,30.3
3.008,101116,30.3
3.108,101100,30.3
3.216,101102,30.3
3.308,101091,30.3
3.407,101087,30.3
3.507,101080,30.3
3.607,101070,30.3
3.708,101058,30.3
3.808,101031,30.3
3.907,101038,30.3
4.009,101029,30.3
4.107,101020,30.3
4.216,101004,30.3
4.307,101006,30.3
4.406,100986,30.3
4.513,100985,30.3
4.607,100962,30.3
4.707,100963,30.3
4.807,100949,30.3
4.909,100931,30.3
5.007,100921,30.3
5.108,100899,30.3
5.208,100889,30.3
5.307,100869,30.2
5.408,100857,30.3
5.508,100846,30.3
5.607,100833,30.3
5.706,100814,30.3
5.807,100794,30.3
5.907,100777,30.3
6.007,100765,30.3
6.107,100753,30.3
6.210,100735,30.3
6.307,100716,30.3
6.408,100695,30.3
6.507,100679,30.3
6.607,100668,30.3
6.707,100633,30.3
6.807,100617,30.3
6.909,100602,30.3
7.007,100585,30.3
7.107,100568,30.3
7.210,100540,30.3
7.309,100518,30.3
7.408,100502,30.3
7.508,100481,30.3
7.609,100449,30.3
7.707,100425,30.3
7.807,100411,30.3
7.908,100398,30.3
8.007,100370,30.3
8.110,100342,30.3
8.209,100307,30.3
8.308,100292,30.3
8.409,100277,30.3
8.507,100253,30.3
8.608,100206,30.3
8.709,100189,30.3
8.808,100167,30.3
8.908,100136,30.2
9.008,100104,30.3
9.107,100076,30.3
9.209,100057,30.3
9.307,100010,30.3
9.408,99975,30.2
9.507,99957,30.3
9.607,99934,30.3
9.708,99909,30.3
9.807,99879,30.3
9.907,99845,30.3
10.007,99821,30.3
10.107,99775,30.3
10.209,99739,30.3
10.307,99716,30.3
10.408,99687,30.3
10.508,99649,30.3
10.607,99624,30.2
10.708,99588,30.3
10.807,99554,30.3
10.907,99515,30.3
11.007,99461,30.3
11.107,99434,30.3
11.209,99415,30.3
11.308,99374,30.3
11.408,99317,30.2
11.507,99292,30.3
11.610,99262,30.2
11.709,99228,30.3
11.808,99184,30.3
11.908,99136,30.2
12.007,99102,30.2
12.107,99059,30.2
12.211,99030,30.2
12.307,98973,30.3
12.407,98924,30.3
12.508,98892,30.2
12.607,98855,30.2
12.707,98823,30.2
12.807,98777,30.2
12.907,98726,30.2
13.011,98656,30.2
13.108,98608,30.2
13.209,98589,30.2
13.308,98562,30.2
13.409,98510,30.2
13.507,98460,30.2
13.607,98411,30.2
13.708,98364,30.2
13.809,98321,30.2
13.907,98262,30.2
14.007,98229,30.2
14.109,98160,30.2
14.211,98100,30.2
14.308,98064,30.2
14.408,98015,30.2
14.507,97956,30.2
14.607,97905,30.2
14.707,97852,30.3
14.808,97816,30.2
14.908,97759,30.2
15.009,97704,30.2
15.109,97652,30.2
15.210,97590,30.2
15.308,97534,30.2
15.408,97497,30.2
15.508,97440,30.2
15.608,97378,30.2
15.708,97318,30.2
15.808,97257,30.2
15.907,97214,30.2
16.007,97156,30.2
16.107,97098,30.2
16.218,97034,30.2
16.308,96971,30.2
16.409,96933,30.2
16.507,96865,30.2
16.607,96807,30.2
16.708,96743,30.2
16.808,96672,30.2
16.908,96609,30.2
17.007,96561,30.2
17.109,96496,30.2
17.210,96434,30.2
17.308,96364,30.2
17.408,96306,30.2
17.509,96262,30.2
17.608,96187,30.2
17.707,96121,30.2
17.809,96052,30.2
17.908,95972,30.2
18.008,95929,30.2
18.108,95867,30.2
18.211,95796,30.2
18.308,95726,30.2
18.409,95656,30.2
18.508,95612,30.2
18.608,95542,30.3
18.708,95474,30.2
18.809,95402,30.2
18.907,95325,30.2
19.008,95251,30.2
19.109,95205,30.3
19.208,95130,30.2
19.310,95057,30.2
19.408,94982,30.2
19.509,94911,30.2
19.609,94854,30.2
19.708,94785,30.2
19.808,94707,30.2
19.908,94630,30.2
20.008,94550,30.2
20.108,94493,30.2
20.208,94415,30.2
20.307,94336,30.2
20.408,94254,30.2
20.508,94181,30.2
20.608,94101,30.2
20.708,94041,30.2
20.809,93958,30.2
20.908,93875,30.2
21.008,93791,30.2
21.108,93708,30.2
21.208,93653,30.2
21.307,93572,30.2
21.409,93487,30.2
