# T[s],barometer[Pa],temp[C]
21.508,93402,30.2
21.608,93318,30.2
21.708,93262,30.2
21.809,93170,30.2
21.909,93081,30.3
22.008,93021,30.2
22.108,92950,30.2
22.210,92869,30.2
22.308,92808,30.3
22.409,92702,30.2
22.508,92590,30.3
22.607,92496,30.2
22.707,92405,30.2
22.808,92342,30.2
22.908,92252,30.2
23.008,92159,30.2
23.108,92073,30.2
23.209,91978,30.2
23.307,91909,30.2
23.407,91815,30.2
23.508,91717,30.2
23.609,91622,30.2
23.708,91522,30.2
23.809,91430,30.2
23.909,91364,30.2
24.008,91267,30.2
24.108,91170,30.2
24.214,91075,30.2
24.308,90974,30.2
24.409,90906,30.2
24.507,90806,30.2
24.609,90705,30.2
24.708,90604,30.2
24.808,90500,30.2
24.908,90436,30.2
25.008,90330,30.2
25.107,90224,30.2
25.209,90124,30.2
25.308,90017,30.2
25.408,89911,30.2
25.509,89842,30.2
25.608,89737,30.2
25.708,89631,30.2
25.808,89526,30.2
25.908,89418,30.2
26.008,89344,30.2
26.108,89235,30.2
26.208,89124,30.2
26.313,89015,30.2
26.409,88900,30.2
26.509,88826,30.2
26.608,88718,30.2
26.710,88604,30.2
26.809,88496,30.2
26.907,88386,30.2
27.007,88272,30.2
27.109,88197,30.2
27.209,88085,30.2
27.308,87973,30.2
27.408,87860,30.2
27.509,87721,30.2
27.607,87635,30.2
27.708,87520,30.2
27.808,87406,30.2
27.908,87288,30.2
28.008,87172,30.2
28.109,87097,30.2
28.209,86974,30.2
28.312,86860,30.2
28.408,86745,30.2
28.508,86624,30.2
28.608,86504,30.2
28.709,86425,30.2
28.810,86301,30.2
28.907,86173,30.2
29.008,86052,30.2
29.108,85931,30.2
29.210,85848,30.2
29.309,85719,30.2
29.409,85594,30.2
29.509,85468,30.2
29.611,85348,30.2
29.708,85266,30.2
29.808,85141,30.2
29.908,85015,30.2
30.009,84886,30.2
30.109,84759,30.2
30.208,84635,30.2
30.308,84550,30.2
30.409,84428,30.2
30.509,84297,30.2
30.615,84173,30.2
30.709,84057,30.2
30.807,83982,30.2
30.908,83850,30.2
31.008,83724,30.2
31.109,83591,30.2
31.209,83462,30.2
31.314,83373,30.2
31.408,83243,30.2
31.508,83110,30.2
31.610,82972,30.2
31.709,82840,30.2
31.809,82694,30.2
31.908,82617,30.2
32.208,82199,30.2
32.308,82060,30.2
32.409,81974,30.2
32.508,81839,30.2
32.609,81701,30.2
32.709,81556,30.2
32.808,81411,30.2
32.908,81318,30.2
33.009,81179,30.2
33.109,81044,30.2
33.209,80898,30.2
33.309,80750,30.2
33.508,80509,30.2
33.609,80370,30.2
33.709,80224,30.2
33.809,80077,30.2
33.909,79931,30.2
34.108,79688,30.2
34.208,79531,30.2
34.308,79381,30.2
34.409,79230,30.2
34.509,79131,30.2
34.612,78986,30.2
38.210,73741,30.2
38.308,73640,30.2
38.408,73479,30.2
38.508,73311,30.2
38.712,72977,30.2
38.809,72874,30.2
38.908,72707,30.2
39.008,72538,30.1
39.108,72378,30.2
40.909,69499,30.2
41.009,69326,30.1
41.109,69156,30.2
41.215,68986,30.2
41.315,68814,30.2
41.409,68643,30.2
41.609,68355,30.2
41.709,68186,30.2
