# T[s],P4[MPa]
-38.084,0.011
-38.075,0.005
-38.064,0.005
-38.053,0.005
-38.043,0.005
-38.035,0.005
-38.023,0.005
-38.014,0.011
-38.004,0.011
-37.994,0.005
-37.985,0.005
-37.975,0.005
-37.965,0.005
-37.955,0.005
-37.944,0.005
-37.935,0.005
-37.925,0.005
-37.914,0.005
-37.904,0.005
-37.893,0.005
-37.883,0.005
-37.874,0.005
-37.863,0.005
-37.854,0.005
-37.845,0.005
-37.834,0.005
-37.825,0.005
-37.813,0.005
-37.805,0.005
-37.795,0.005
-37.785,0.005
-37.775,0.005
-37.764,0.005
-37.754,0.005
-37.744,0.005
-37.735,0.005
-37.723,0.005
-37.715,0.005
-37.703,0.005
-37.695,0.005
-37.684,0.005
-37.674,0.005
-37.661,0.005
-37.650,0.005
-37.642,0.005
-37.634,0.005
-37.625,0.005
-37.615,0.005
-37.605,0.005
-37.594,0.005
-37.585,0.005
-37.574,0.005
-37.564,0.005
-37.554,0.005
-37.545,0.005
-37.535,0.005
-37.525,0.005
-37.515,0.005
-37.505,0.005
-37.494,0.005
-37.484,0.005
-37.474,0.005
-37.463,0.005
-37.453,0.005
-37.443,0.005
-37.435,0.005
-37.424,0.005
-37.415,0.005
-37.405,0.005
-37.394,0.005
-37.384,0.005
-37.375,0.005
-37.365,0.005
-37.355,0.005
-37.344,0.005
-37.334,-0.002
-37.325,-0.002
-37.314,0.005
-37.305,0.005
-37.295,-0.002
-37.284,0.005
-37.275,0.005
-37.264,0.005
-37.254,0.005
-37.244,0.005
-37.234,0.005
-37.224,0.005
-37.214,0.005
-37.205,0.005
-37.195,0.005
-37.183,0.005
-37.175,0.005
-37.164,0.005
-37.154,0.005
-37.145,-0.002
-37.131,0.005
-37.120,0.005
-37.111,0.005
-37.105,0.005
-37.095,0.005
-37.085,0.005
-37.075,0.005
-37.064,0.005
-37.054,0.005
-37.044,0.005
-37.035,0.005
-37.025,-0.002
-37.015,0.005
-37.004,0.005
-36.994,0.005
-36.985,0.005
