# T[s],control,sequence_elapse[s]
-12.199,16385,-12.2
-12.099,16385,-12.0
-12.000,18433,-12.0
-11.898,18433,-11.9
-11.799,18433,-11.7
-11.699,18433,-11.7
-11.599,18433,-11.5
-11.499,18433,-11.5
-11.399,18433,-11.4
-11.300,18433,-11.2
-11.199,18433,-11.2
-11.099,18433,-11.0
-10.998,18433,-11.0
-10.898,18433,-10.9
-10.799,18433,-10.7
-10.698,18433,-10.7
-10.598,18433,-10.5
-10.499,18433,-10.5
-10.399,18433,-10.4
-10.299,18433,-10.2
-10.199,18433,-10.2
-10.099,18433,-10.0
-9.999,18433,-10.0
-9.899,18433,-9.9
-9.799,18433,-9.7
-9.699,18433,-9.7
-9.598,18433,-9.5
-9.499,18433,-9.4
-9.399,18433,-9.4
-9.299,18433,-9.2
-9.199,18433,-9.2
-9.099,18433,-9.0
-8.998,18433,-8.9
-8.895,18433,-8.9
-8.799,18433,-8.7
-8.699,18433,-8.7
-8.598,18433,-8.5
-8.499,18433,-8.4
-8.398,18433,-8.4
-8.299,18433,-8.2
-8.199,18433,-8.2
-8.099,18433,-8.0
-7.999,18433,-7.9
-7.899,18433,-7.9
-7.799,18433,-7.7
-7.700,18433,-7.6
-7.599,18433,-7.5
-7.499,18433,-7.4
-7.399,18433,-7.4
-7.298,18433,-7.2
-7.198,18433,-7.1
-7.100,18433,-7.0
-6.999,18433,-6.9
-6.899,18433,-6.8
-6.799,18433,-6.7
-6.699,18433,-6.6
-6.599,18433,-6.5
-6.499,18433,-6.4
-6.400,18433,-6.3
-6.299,18433,-6.2
-6.199,18433,-6.1
-6.098,18433,-6.0
-5.998,18475,-5.9
-5.899,18475,-5.8
-5.796,18475,-5.7
-5.699,18475,-5.6
-5.594,18475,-5.5
-5.499,18475,-5.4
-5.398,18475,-5.3
-5.299,18475,-5.2
-5.200,18475,-5.1
-5.099,18475,-5.0
-4.999,18475,-4.9
-4.899,18475,-4.8
-4.799,18475,-4.7
-4.699,18475,-4.6
-4.595,18475,-4.5
-4.496,18475,-4.4
-4.399,18475,-4.3
-4.299,18475,-4.2
-4.199,18475,-4.1
-4.099,18475,-4.0
-3.999,18475,-3.9
-3.899,18475,-3.8
-3.799,18475,-3.7
-3.699,18475,-3.6
-3.598,18475,-3.5
-3.498,18475,-3.4
-3.398,18475,-3.3
-3.299,18475,-3.2
-3.199,18475,-3.1
-3.097,18475,-3.0
-2.998,18475,-2.9
-2.893,18475,-2.8
-2.798,18475,-2.7
-2.698,18475,-2.6
-2.598,18475,-2.5
-2.499,18475,-2.4
-2.399,18475,-2.3
-2.299,18475,-2.2
-2.198,18475,-2.1
-2.099,18475,-2.0
-1.999,18475,-1.9
-1.899,18475,-1.8
-1.794,18475,-1.7
-1.699,18475,-1.6
-1.598,18475,-1.5
-1.498,22571,-1.4
-1.399,22571,-1.3
-1.299,22571,-1.2
-1.198,22571,-1.1
-1.095,22571,-1.0
-0.998,18475,-0.9
-0.899,18475,-0.8
-0.799,18475,-0.7
-0.698,18475,-0.6
-0.599,18475,-0.5
-0.499,18475,-0.4
-0.398,18475,-0.3
-0.299,18475,-0.2
-0.200,18475,-0.1
-0.099,18475,0.0
0.001,18479,0.0
0.101,18479,0.1
0.201,18479,0.2
0.302,18479,0.3
0.401,18479,0.4
0.504,18479,0.5
0.603,18479,0.6
0.703,18479,0.7
0.803,18479,0.8
0.901,18479,0.9
1.000,16431,1.0
1.101,16431,1.1
1.201,16431,1.2
1.302,16431,1.3
1.402,16431,1.4
1.502,16431,1.5
1.602,16431,1.6
1.707,16431,1.7
1.801,16431,1.8
1.901,16431,1.9
2.001,16431,2.0
2.102,16431,2.1
2.201,16431,2.2
2.302,16431,2.3
2.402,16431,2.4
2.502,16431,2.5
2.601,16431,2.6
2.701,16431,2.7
2.801,16431,2.8
2.901,16431,2.9
3.003,16431,3.0
3.101,16431,3.1
3.203,16431,3.2
3.301,16431,3.3
3.401,16431,3.4
3.501,16431,3.5
3.602,16431,3.6
3.701,16431,3.7
3.802,16431,3.8
3.901,16431,3.9
4.001,16431,4.0
4.103,16431,4.1
4.206,16431,4.2
4.301,16431,4.3
4.401,16431,4.4
4.506,16431,4.5
4.602,16431,4.6
4.701,16431,4.7
4.801,16431,4.8
4.901,16431,4.9
5.001,16431,5.0
5.101,16431,5.1
5.201,16431,5.2
5.302,16431,5.3
5.401,16431,5.4
5.501,16431,5.5
5.601,16431,5.6
5.701,16431,5.7
5.801,16431,5.8
5.902,16431,5.9
6.003,16431,6.0
6.101,16431,6.1
6.201,16431,6.2
6.301,16431,6.3
6.401,16431,6.4
6.500,16431,6.5
6.603,16431,6.6
6.701,16431,6.7
6.801,16431,6.8
6.903,16431,6.9
7.002,16431,7.0
7.102,16431,7.1
7.202,16431,7.2
7.301,16431,7.3
7.401,16431,7.4
7.501,16431,7.5
7.601,16431,7.6
7.701,16431,7.7
7.803,16431,7.8
7.901,16431,7.9
8.002,16431,8.0
8.107,16431,8.1
8.201,16431,8.2
8.301,16431,8.3
8.402,16431,8.4
8.501,16431,8.5
8.601,16431,8.6
8.701,16431,8.7
8.802,16431,8.8
8.901,16431,8.9
9.002,16431,9.0
9.101,16431,9.1
9.201,16431,9.2
9.301,16431,9.3
9.401,16431,9.4
9.501,16431,9.5
9.600,16431,9.6
9.703,16431,9.7
9.801,16431,9.8
9.901,16431,9.9
10.001,16431,10.0
10.101,16431,10.1
10.202,16431,10.2
10.302,16431,10.3
10.402,16431,10.4
10.501,16431,10.5
10.601,16431,10.6
10.701,16431,10.7
10.803,16431,10.8
10.902,16431,10.9
