# T[s],q1
-38.086,0.00040710
-38.076,0.00041044
-38.066,0.00041256
-38.056,0.00040978
-38.046,0.00040623
-38.035,0.00040096
-38.026,0.00040280
-38.015,0.00039996
-38.004,0.00039785
-37.996,0.00040224
-37.986,0.00040154
-37.976,0.00040458
-37.965,0.00040693
-37.956,0.00040652
-37.945,0.00040059
-37.936,0.00039623
-37.925,0.00039034
-37.915,0.00038842
-37.905,0.00039310
-37.896,0.00039343
-37.886,0.00040073
-37.876,0.00039781
-37.866,0.00039622
-37.857,0.00039046
-37.847,0.00038354
-37.835,0.00038486
-37.826,0.00038420
-37.816,0.00038541
-37.806,0.00038576
-37.796,0.00038129
-37.785,0.00038091
-37.775,0.00037981
-37.766,0.00038052
-37.755,0.00037587
-37.746,0.00036999
-37.736,0.00036960
-37.726,0.00036841
-37.716,0.00036966
-37.706,0.00036917
-37.695,0.00035979
-37.685,0.00035806
-37.675,0.00036263
-37.664,0.00036127
-37.650,0.00035511
-37.642,0.00035181
-37.636,0.00035032
-37.626,0.00034890
-37.615,0.00034557
-37.605,0.00033725
-37.595,0.00033207
-37.585,0.00033072
-37.575,0.00032847
-37.564,0.00032468
-37.554,0.00032282
-37.546,0.00031979
-37.536,0.00032141
-37.525,0.00032006
-37.516,0.00032346
-37.506,0.00033142
-37.495,0.00032961
-37.485,0.00032758
-37.475,0.00032979
-37.466,0.00033285
-37.456,0.00033758
-37.446,0.00034466
-37.436,0.00034934
-37.426,0.00034931
-37.415,0.00034345
-37.406,0.00034212
-37.395,0.00034390
-37.384,0.00035334
-37.376,0.00035314
-37.365,0.00034976
-37.355,0.00035397
-37.345,0.00035581
-37.337,0.00035403
-37.327,0.00035352
-37.314,0.00035456
-37.306,0.00035722
-37.295,0.00035921
-37.285,0.00036110
-37.276,0.00035380
-37.265,0.00035452
-37.256,0.00035231
-37.245,0.00034946
-37.235,0.00035335
-37.224,0.00035670
-37.216,0.00035920
-37.206,0.00036291
-37.196,0.00036563
-37.186,0.00036622
-37.176,0.00036670
-37.165,0.00036558
-37.157,0.00036392
-37.146,0.00036951
-37.133,0.00036885
-37.120,0.00037098
-37.113,0.00036687
-37.106,0.00036232
-37.095,0.00036112
-37.086,0.00037085
-37.077,0.00036785
-37.065,0.00036748
-37.054,0.00037420
-37.046,0.00037605
-37.036,0.00037627
-37.025,0.00036991
-37.016,0.00037430
-37.006,0.00037635
-36.995,0.00038351
-36.987,0.00038339
-36.974,0.00038640
-36.965,0.00038179
-36.956,0.00038417
-36.946,0.00038225
-36.936,0.00037955
-36.926,0.00038334
-36.915,0.00038924
-36.905,0.00038932
-36.895,0.00038270
-36.882,0.00038144
-36.872,0.00038146
-36.863,0.00038165
-36.855,0.00037953
-36.846,0.00037878
-36.836,0.00037795
-36.826,0.00037319
-36.817,0.00037065
-36.805,0.00036736
-36.795,0.00036767
-36.786,0.00036865
-36.776,0.00036924
-36.766,0.00036494
-36.756,0.00036562
-36.746,0.00036540
-36.737,0.00035484
-36.726,0.00035996
-36.714,0.00035721
-36.701,0.00035878
-36.693,0.00035596
-36.684,0.00035000
-36.675,0.00034315
-36.666,0.00034226
-36.655,0.00034476
-36.647,0.00034303
-36.635,0.00034355
-36.626,0.00034075
-36.615,0.00033801
-36.606,0.00033218
-36.595,0.00032474
-36.585,0.00032449
-36.575,0.00032261
-36.565,0.00032314
-36.556,0.00031928
-36.545,0.00031691
-36.534,0.00031509
-36.526,0.00031067
-36.516,0.00030370
-36.506,0.00030583
-36.495,0.00030563
-36.486,0.00030249
-36.475,0.00030003
-36.466,0.00029775
-36.455,0.00030515
-36.444,0.00030002
-36.436,0.00029846
-36.426,0.00030282
-36.415,0.00030170
-36.406,0.00029908
-36.396,0.00029598
-36.386,0.00030236
-36.375,0.00030190
-36.366,0.00030207
-36.354,0.00030307
-36.346,0.00030231
-36.336,0.00030295
-36.326,0.00030874
-36.316,0.00030937
-36.306,0.00031342
-36.295,0.00031480
-36.285,0.00032179
-36.274,0.00032259
-36.266,0.00032388
-36.256,0.00032329
-36.245,0.00032795
-36.235,0.00033495
-36.225,0.00034239
-36.215,0.00033907
-36.207,0.00034115
-36.195,0.00034325
-36.186,0.00034869
-36.175,0.00035185
-36.166,0.00035291
-36.156,0.00036234
-36.146,0.00036124
-36.135,0.00036388
-36.126,0.00037031
-36.115,0.00037305
-36.106,0.00037066
-36.096,0.00037141
-36.085,0.00037352
-36.075,0.00037348
-36.066,0.00037922
-36.056,0.00037788
-36.045,0.00038232
-36.036,0.00038683
-36.024,0.00039380
-36.016,0.00039203
-36.006,0.00039554
-35.996,0.00039635
-35.986,0.00039574
-35.976,0.00039646
-35.966,0.00039623
-35.957,0.00040165
-35.945,0.00040179
-35.935,0.00040123
-35.926,0.00040079
-35.915,0.00040374
-35.905,0.00039933
-35.896,0.00039493
-35.886,0.00039814
-35.875,0.00040068
-35.867,0.00040523
-35.856,0.00040436
-35.846,0.00040548
-35.835,0.00040169
-35.826,0.00040155
-35.816,0.00039994
-35.806,0.00040289
-35.796,0.00039843
-35.785,0.00039907
-35.777,0.00040033
-35.766,0.00040228
-35.756,0.00040463
-35.746,0.00040386
-35.736,0.00039890
-35.725,0.00039809
-35.715,0.00039858
-35.705,0.00039766
-35.695,0.00039723
-35.685,0.00039316
-35.676,0.00038735
-35.666,0.00038823
-35.655,0.00038093
-35.646,0.00037779
-35.636,0.00037174
