# T[s],q3
-38.084,-0.00130415
-38.075,-0.00130651
-38.064,-0.00130185
-38.056,-0.00130161
-38.045,-0.00130140
-38.035,-0.00130316
-38.025,-0.00130444
-38.015,-0.00130635
-38.004,-0.00129985
-37.996,-0.00129625
-37.986,-0.00129584
-37.976,-0.00129785
-37.965,-0.00129898
-37.955,-0.00129961
-37.945,-0.00129462
-37.936,-0.00129013
-37.925,-0.00129205
-37.915,-0.00129512
-37.905,-0.00129174
-37.896,-0.00129106
-37.886,-0.00128675
-37.874,-0.00128573
-37.865,-0.00128893
-37.854,-0.00129239
-37.846,-0.00129218
-37.835,-0.00129603
-37.826,-0.00130067
-37.816,-0.00129729
-37.805,-0.00130108
-37.795,-0.00130282
-37.785,-0.00130557
-37.775,-0.00130471
-37.765,-0.00130576
-37.755,-0.00130422
-37.745,-0.00129826
-37.736,-0.00129657
-37.726,-0.00129464
-37.716,-0.00129483
-37.706,-0.00129737
-37.695,-0.00129820
-37.685,-0.00130207
-37.675,-0.00130279
-37.663,-0.00130147
-37.650,-0.00130036
-37.642,-0.00129727
-37.635,-0.00129580
-37.626,-0.00129739
-37.615,-0.00129923
-37.605,-0.00130860
-37.595,-0.00130928
-37.585,-0.00130820
-37.575,-0.00130844
-37.564,-0.00130377
-37.554,-0.00130614
-37.546,-0.00130595
-37.536,-0.00130363
-37.525,-0.00130562
-37.515,-0.00130541
-37.505,-0.00130163
-37.495,-0.00130550
-37.485,-0.00130638
-37.474,-0.00130191
-37.466,-0.00130198
-37.456,-0.00130682
-37.446,-0.00130528
-37.435,-0.00130228
-37.425,-0.00129960
-37.415,-0.00129297
-37.406,-0.00129580
-37.395,-0.00129762
-37.384,-0.00130317
-37.376,-0.00129718
-37.365,-0.00130199
-37.355,-0.00129892
-37.345,-0.00129681
-37.335,-0.00129339
-37.326,-0.00129730
-37.314,-0.00129832
-37.306,-0.00129879
-37.295,-0.00129988
-37.284,-0.00130112
-37.276,-0.00129428
-37.265,-0.00128921
-37.255,-0.00129079
-37.245,-0.00129397
-37.234,-0.00129780
-37.224,-0.00129604
-37.216,-0.00128994
-37.206,-0.00129217
-37.196,-0.00129575
-37.185,-0.00130109
-37.175,-0.00129636
-37.165,-0.00129892
-37.155,-0.00129719
-37.146,-0.00130472
-37.133,-0.00130152
-37.120,-0.00129972
-37.113,-0.00129979
-37.106,-0.00129946
-37.095,-0.00129228
-37.085,-0.00128607
-37.075,-0.00128797
