# T[s],barometer[Pa]
2.038,101215
2.138,101235
2.237,101203
2.338,101173
2.438,101166
2.538,101177
2.639,101173
2.737,101168
2.837,101123
2.938,101115
3.039,101133
3.138,101111
3.239,101101
3.337,101128
3.437,101088
3.537,101108
3.638,101074
3.738,101093
3.846,101066
3.938,101043
4.039,101051
4.137,101028
4.238,101033
4.339,100998
4.438,100987
4.537,101001
4.638,100955
4.737,100961
4.838,100977
4.939,100928
5.038,100913
5.139,100925
5.238,100893
5.337,100874
5.438,100854
5.538,100831
5.637,100817
5.739,100821
5.838,100819
5.938,100776
6.043,100778
6.138,100735
6.243,100728
6.337,100694
6.443,100700
6.537,100646
6.638,100656
6.740,100630
6.839,100616
6.939,100591
7.038,100573
7.137,100534
7.237,100521
7.338,100514
7.439,100484
7.537,100470
7.638,100447
7.738,100422
7.838,100378
7.938,100363
8.038,100326
8.137,100309
8.241,100274
8.337,100258
8.437,100225
8.538,100193
8.638,100171
8.738,100176
8.839,100132
8.939,100085
9.039,100063
9.138,100048
9.238,100005
9.338,99972
9.437,99948
9.537,99923
9.638,99923
9.738,99868
9.838,99821
9.939,99807
10.037,99765
10.137,99713
10.238,99698
10.338,99657
10.439,99617
10.538,99588
10.637,99535
10.737,99528
10.838,99474
10.938,99452
11.038,99394
11.142,99363
11.238,99339
11.343,99314
11.438,99257
11.537,99205
11.638,99213
11.738,99148
11.838,99101
11.938,99051
12.040,99014
12.141,98992
12.238,98918
12.338,98887
12.439,98838
12.537,98782
12.637,98754
12.738,98717
12.838,98634
12.938,98622
13.038,98568
13.138,98504
13.239,98450
13.338,98418
13.438,98373
13.539,98311
13.638,98266
13.737,98229
13.837,98157
13.937,98116
14.037,98081
14.143,98015
14.238,97947
14.338,97901
14.438,97859
14.538,97811
14.639,97742
14.738,97677
14.839,97627
14.938,97572
15.037,97507
15.138,97472
15.242,97427
15.338,97363
15.438,97314
15.539,97253
15.638,97214
15.737,97126
15.837,97079
15.938,97019
16.038,96959
16.138,96898
16.238,96823
16.339,96779
16.438,96717
16.538,96665
16.642,96588
16.739,96521
16.837,96460
16.943,96409
17.041,96348
17.139,96274
17.239,96243
17.338,96169
17.438,96101
17.539,96029
17.640,95946
17.738,95913
17.838,95835
17.939,95766
18.038,95701
18.139,95642
18.239,95559
18.338,95498
18.438,95427
18.538,95375
18.639,95291
18.737,95212
18.838,95151
18.940,95057
19.038,95007
19.138,94913
19.239,94856
19.337,94781
19.437,94695
19.541,94617
19.644,94560
19.738,94509
19.842,94403
19.937,94319
20.037,94252
20.137,94136
20.242,94080
20.338,93988
20.439,93923
20.539,93828
20.640,93777
20.741,93690
20.838,93603
20.938,93530
21.039,93413
21.139,93353
21.239,93293
21.338,93192
21.438,93114
21.538,93059
21.638,92962
21.737,92860
21.838,92797
21.939,92681
22.038,92594
22.138,92535
22.238,92425
22.338,92320
22.439,92266
22.540,92155
22.638,92053
22.738,91955
22.839,91875
22.940,91803
23.039,91690
23.138,91641
23.238,91544
23.338,91472
23.438,91329
23.539,91251
23.638,91147
23.738,91064
23.839,90933
23.938,90859
24.039,90743
24.138,90656
24.238,90548
24.339,90468
24.438,90342
24.538,90230
24.638,90136
24.739,90052
24.838,89995
24.938,89866
25.038,89759
25.137,89649
25.238,89541
25.338,89443
25.437,89333
25.539,89235
25.638,89106
25.738,89018
25.838,88922
25.939,88801
26.038,88703
26.137,88609
26.237,88461
26.338,88364
26.438,88283
26.538,88166
26.639,88034
26.737,87965
26.839,87856
26.939,87766
27.038,87644
27.138,87524
27.238,87394
27.338,87286
27.438,87195
27.538,87096
27.638,86940
27.738,86847
27.838,86730
27.938,86588
28.037,86486
28.138,86385
28.238,86256
28.338,86138
28.443,86007
28.539,85892
28.639,85819
28.739,85681
28.838,85562
28.938,85457
29.039,85317
29.139,85167
29.238,85056
29.339,84950
29.437,84819
29.538,84700
29.638,84554
29.738,84449
29.837,84313
29.937,84212
30.038,84069
30.138,83950
30.238,83859
30.338,83695
30.441,83555
30.538,83443
30.638,83316
30.737,83183
30.838,83049
30.938,82935
31.037,82775
31.139,82658
31.237,82547
31.338,82353
31.438,82230
31.538,82128
31.639,81990
31.737,81849
31.839,81749
31.940,81571
32.238,81161
32.337,81081
32.438,80922
32.537,80789
32.638,80630
32.839,80375
32.939,80217
33.138,79929
33.238,79807
33.338,79633
33.438,79491
33.538,79393
33.637,79205
33.738,79104
33.838,78977
33.938,78826
34.138,78541
34.238,78347
34.338,78234
34.438,78085
34.639,77803
37.638,73240
38.238,72279
38.338,72109
38.437,71928
38.537,71827
38.840,71347
38.937,71168
39.039,70978
39.137,70823
40.537,68541
40.836,68041
40.939,67868
41.037,67688
41.137,67567
41.238,67394
41.337,67191
41.637,66722
45.038,60872
