# T[s],vavle_state,power_a[A],power_v[V]
-18.090,2,-0.08,16.62
-17.989,2,-0.02,16.61
-17.888,2,-0.04,16.61
-17.799,2,-0.04,16.61
-17.689,2,-0.06,16.61
-17.590,2,-0.04,16.62
-17.489,2,-0.04,16.61
-17.389,2,-0.06,16.62
-17.289,2,-0.04,16.62
-17.089,2,-0.06,16.62
-16.989,2,-0.08,16.62
-16.889,2,-0.06,16.60
-16.798,2,-0.04,16.61
-16.689,2,-0.02,16.59
-16.588,2,-0.08,16.62
-16.489,2,-0.08,16.62
-16.389,2,-0.04,16.62
-16.289,2,-0.08,16.61
-16.198,2,-0.04,16.61
-16.089,2,0.00,16.59
-15.990,2,-0.04,16.61
-15.889,2,-0.06,16.62
-15.798,2,0.00,16.59
-15.689,2,-0.04,16.62
-15.588,2,-0.02,16.60
-15.489,2,-0.04,16.61
-15.389,2,-0.06,16.60
-15.289,2,-0.04,16.61
-15.198,2,-0.04,16.62
-15.090,2,-0.04,16.62
-14.989,2,0.00,16.60
-14.889,2,-0.06,16.61
-14.789,2,-0.04,16.61
-14.689,2,-0.06,16.62
-14.584,2,-0.04,16.61
-14.490,2,-0.06,16.60
-14.385,2,-0.04,16.62
-14.287,2,-0.06,16.62
-14.189,2,-0.04,16.61
-14.089,2,-0.06,16.61
-13.989,2,-0.02,16.60
-13.890,2,-0.06,16.61
-13.790,2,-0.06,16.61
-13.689,2,-0.02,16.62
-13.588,2,-0.04,16.61
-13.487,2,-0.04,16.59
-13.389,2,-0.08,16.61
-13.288,2,-0.02,16.61
-13.189,2,-0.06,16.60
-13.089,2,-0.04,16.61
-12.989,2,-0.02,16.62
-12.890,2,-0.04,16.61
-12.790,2,-0.10,16.62
-12.690,2,-0.06,16.62
-12.588,2,-0.08,16.62
-12.489,2,-0.02,16.61
-12.389,2,-0.06,16.60
-12.290,2,-0.06,16.62
-12.190,2,-0.04,16.62
-12.090,2,-0.10,16.60
-11.990,2,-0.04,16.60
-11.889,2,-0.06,16.62
-11.789,2,-0.08,16.63
-11.689,2,-0.02,16.61
-11.589,2,-0.04,16.62
-11.489,2,-0.04,16.62
-11.388,2,-0.04,16.60
-11.289,2,-0.02,16.62
-11.189,2,-0.04,16.61
-11.089,2,-0.04,16.61
-10.989,2,-0.06,16.61
-10.887,2,-0.04,16.61
-10.790,2,-0.02,16.59
-10.689,2,-0.04,16.62
-10.589,2,-0.04,16.62
-10.489,2,-0.02,16.60
-10.388,2,-0.04,16.61
-10.290,2,-0.04,16.61
-10.190,2,0.00,16.61
-10.089,2,-0.04,16.61
-9.989,2,-0.02,16.60
-9.889,2,-0.04,16.61
-9.789,2,-0.06,16.62
-9.689,2,-0.08,16.62
-9.590,2,-0.08,16.61
-9.489,2,-0.06,16.62
-9.389,2,-0.06,16.61
-9.289,2,-0.02,16.59
-9.189,2,-0.04,16.61
-9.088,2,-0.04,16.61
-8.989,2,0.00,16.60
-8.883,2,0.00,16.60
-8.789,2,-0.02,16.59
-8.689,2,-0.04,16.62
-8.589,2,-0.02,16.59
-8.488,2,-0.02,16.61
-8.388,2,-0.04,16.60
-8.290,2,-0.08,16.62
-8.189,2,-0.02,16.60
-8.089,2,-0.02,16.61
-7.989,2,-0.08,16.62
-7.889,2,0.00,16.61
-7.789,2,-0.02,16.61
-7.690,2,-0.10,16.62
-7.589,2,-0.06,16.62
-7.489,2,-0.06,16.62
-7.389,2,-0.04,16.62
-7.289,2,-0.06,16.61
-7.188,2,-0.02,16.60
-7.088,2,-0.04,16.61
-6.989,2,-0.02,16.62
-6.889,2,-0.02,16.60
-6.789,2,-0.04,16.61
-6.689,2,-0.02,16.62
-6.590,2,-0.06,16.61
-6.490,2,-0.02,16.61
-6.389,2,-0.02,16.61
-6.289,2,-0.02,16.61
-6.189,2,-0.04,16.61
-6.088,2,-0.04,16.62
-5.989,2,-0.06,16.62
-5.889,2,-0.02,16.61
-5.784,2,-0.04,16.62
-5.689,2,-0.04,16.61
-5.589,2,-0.08,16.62
-5.489,2,-0.06,16.60
-5.388,2,-0.06,16.62
-5.289,2,-0.06,16.62
-5.189,2,-0.06,16.60
-5.089,2,-0.06,16.61
-4.989,2,-0.04,16.61
-4.889,2,-0.08,16.60
-4.788,2,-0.02,16.60
-4.689,2,-0.04,16.60
-4.583,2,-0.04,16.61
-4.489,2,-0.04,16.62
-4.389,2,-0.04,16.61
-4.290,2,-0.04,16.62
-4.189,2,-0.06,16.62
-4.090,2,-0.06,16.62
-3.998,2,-0.06,16.62
-3.889,2,-0.04,16.60
-3.789,2,-0.06,16.61
-3.689,2,-0.06,16.61
-3.589,2,-0.04,16.62
-3.488,2,-0.06,16.62
-3.390,2,-0.04,16.62
-3.289,2,-0.04,16.59
-3.189,2,0.00,16.62
-3.083,2,-0.02,16.61
-2.989,2,0.00,16.61
-2.889,2,-0.06,16.61
-2.788,2,-0.02,16.59
-2.689,2,-0.06,16.62
-2.589,2,-0.04,16.61
-2.489,2,-0.06,16.62
-2.389,2,-0.04,16.62
-2.289,2,-0.04,16.61
-2.190,2,-0.04,16.61
-2.089,2,-0.04,16.62
-1.989,2,-0.04,16.62
-1.889,2,-0.02,16.62
-1.783,2,-0.06,16.62
-1.689,2,-0.06,16.62
-1.590,2,-0.04,16.62
-1.489,2,-0.04,16.61
-1.399,2,0.00,16.62
-1.289,2,-0.04,16.60
-1.189,2,-0.04,16.60
-1.089,2,-0.06,16.62
-0.998,2,-0.02,16.60
-0.888,2,-0.06,16.62
-0.789,2,-0.04,16.61
-0.689,2,-0.04,16.60
-0.588,2,-0.04,16.60
-0.489,2,-0.08,16.63
-0.389,2,-0.04,16.60
-0.288,2,-0.06,16.61
-0.199,2,-0.02,16.60
-0.089,2,-0.06,16.63
0.011,2,-0.02,16.61
0.111,2,-0.08,16.62
0.212,2,-0.02,16.62
0.312,2,-0.08,16.62
0.411,2,-0.06,16.62
0.511,2,0.00,16.62
0.615,2,-0.02,16.62
0.715,2,-0.02,16.62
0.815,2,0.02,16.60
0.911,2,-0.04,16.60
1.011,2,-0.06,16.61
1.111,2,-0.06,16.62
1.211,2,-0.08,16.62
1.311,2,-0.04,16.61
1.402,2,-0.06,16.62
1.512,2,-0.04,16.62
1.611,2,-0.04,16.60
1.715,2,-0.08,16.62
1.811,2,-0.02,16.62
1.911,2,-0.02,16.61
2.012,2,-0.04,16.60
2.111,2,-0.06,16.60
2.212,2,-0.10,16.62
2.311,2,-0.06,16.61
2.411,2,-0.10,16.62
2.512,2,-0.08,16.61
2.602,2,-0.10,16.62
2.711,2,-0.06,16.60
2.811,2,-0.08,16.62
2.911,2,-0.06,16.62
3.011,2,-0.04,16.62
3.111,2,-0.04,16.61
3.216,2,-0.04,16.59
3.310,2,-0.06,16.61
3.411,2,-0.06,16.62
3.511,2,-0.04,16.60
3.611,2,-0.04,16.61
3.711,2,-0.06,16.62
3.811,2,0.00,16.61
3.911,2,-0.02,16.60
4.002,2,0.00,16.60
4.111,2,-0.04,16.62
4.218,2,-0.04,16.60
4.312,2,-0.06,16.62
4.411,2,-0.04,16.62
4.514,2,-0.06,16.62
4.602,2,-0.04,16.60
4.711,2,-0.08,16.62
4.811,2,-0.08,16.61
4.911,2,-0.02,16.62
5.002,2,-0.06,16.62
5.112,2,-0.06,16.62
5.211,2,-0.06,16.61
5.312,2,-0.02,16.61
5.412,2,-0.04,16.62
5.501,2,-0.02,16.59
5.611,2,-0.06,16.62
5.712,2,-0.06,16.61
5.803,2,-0.04,16.59
5.911,2,-0.06,16.61
6.003,2,-0.04,16.61
6.111,2,-0.04,16.62
6.211,2,-0.02,16.60
6.311,2,-0.02,16.60
6.411,2,-0.06,16.61
6.501,2,-0.06,16.61
6.612,2,-0.02,16.61
6.713,2,0.00,16.59
6.801,2,-0.04,16.60
6.904,2,-0.06,16.60
7.002,2,-0.06,16.62
