T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-23.402,1,1501399838,-3783429,2804035,4287271,0,0,0,11,1.1
-23.201,1,1501399838,-3783429,2804035,4287269,0,0,0,11,1.1
-23.001,1,1501399838,-3783429,2804037,4287270,0,0,0,11,1.1
-22.792,1,1501399838,-3783429,2804035,4287273,0,0,0,11,1.1
-22.599,1,1501399839,-3783429,2804035,4287275,0,0,0,11,1.1
-22.402,1,1501399839,-3783429,2804035,4287273,0,0,0,11,1.1
-22.202,1,1501399839,-3783429,2804036,4287270,0,0,0,11,1.1
-22.001,1,1501399839,-3783428,2804038,4287264,0,0,0,11,1.1
-21.792,1,1501399839,-3783428,2804038,4287264,0,0,0,11,1.1
-21.602,1,1501399840,-3783427,2804036,4287263,0,0,0,11,1.1
-21.402,1,1501399840,-3783427,2804037,4287261,0,0,0,11,1.1
-21.202,1,1501399840,-3783426,2804037,4287265,0,0,0,11,1.1
-21.002,1,1501399840,-3783427,2804037,4287268,0,0,0,11,1.1
-20.792,1,1501399840,-3783428,2804038,4287269,0,0,0,11,1.1
-20.600,1,1501399841,-3783427,2804037,4287267,0,0,0,11,1.1
-20.400,1,1501399841,-3783427,2804037,4287264,0,0,0,11,1.1
-20.201,1,1501399841,-3783426,2804038,4287262,0,0,0,11,1.1
-20.000,1,1501399841,-3783425,2804038,4287258,0,0,0,11,1.1
-19.787,1,1501399841,-3783426,2804038,4287259,0,0,0,11,1.1
-19.601,1,1501399842,-3783428,2804038,4287263,0,0,0,11,1.1
-19.401,1,1501399842,-3783428,2804037,4287267,0,0,0,11,1.1
-19.201,1,1501399842,-3783428,2804036,4287267,0,0,0,11,1.1
-19.001,1,1501399842,-3783428,2804036,4287265,0,0,0,11,1.1
-18.793,1,1501399842,-3783428,2804036,4287265,0,0,0,11,1.1
-18.600,1,1501399843,-3783428,2804037,4287267,0,0,0,11,1.1
-18.401,1,1501399843,-3783427,2804036,4287265,0,0,0,11,1.1
-18.201,1,1501399843,-3783426,2804036,4287263,0,0,0,11,1.1
-18.001,1,1501399843,-3783426,2804036,4287260,0,0,0,11,1.1
-17.793,1,1501399843,-3783425,2804035,4287260,0,0,0,11,1.1
-17.600,1,1501399844,-3783424,2804036,4287257,0,0,0,11,1.1
-17.401,1,1501399844,-3783424,2804037,4287254,0,0,0,11,1.1
-17.200,1,1501399844,-3783425,2804037,4287255,0,0,0,11,1.1
-17.001,1,1501399844,-3783425,2804037,4287260,0,0,0,11,1.1
-16.793,1,1501399844,-3783425,2804036,4287260,0,0,0,11,1.1
-16.602,1,1501399845,-3783427,2804037,4287260,0,0,0,11,1.1
-16.401,1,1501399845,-3783427,2804036,4287259,0,0,0,11,1.1
-16.200,1,1501399845,-3783427,2804036,4287261,0,0,0,11,1.1
-16.002,1,1501399845,-3783426,2804036,4287258,0,0,0,11,1.1
-15.791,1,1501399845,-3783425,2804037,4287257,0,0,0,11,1.1
-15.600,1,1501399846,-3783425,2804036,4287259,0,0,0,11,1.1
-15.402,1,1501399846,-3783426,2804035,4287261,0,0,0,11,1.1
-15.201,1,1501399846,-3783426,2804035,4287261,0,0,0,11,1.1
-15.002,1,1501399846,-3783425,2804036,4287259,0,0,0,11,1.1
-14.792,1,1501399846,-3783425,2804037,4287261,0,0,0,11,1.1
-14.594,1,1501399847,-3783425,2804038,4287261,0,0,0,11,1.1
-14.394,1,1501399847,-3783426,2804037,4287263,0,0,0,11,1.1
-14.198,1,1501399847,-3783426,2804038,4287262,0,0,0,11,1.1
-13.995,1,1501399847,-3783426,2804038,4287262,0,0,0,11,1.1
-13.791,1,1501399847,-3783425,2804038,4287261,0,0,0,11,1.1
-13.600,1,1501399848,-3783426,2804038,4287265,0,0,0,11,1.1
-13.399,1,1501399848,-3783424,2804038,4287262,0,0,0,11,1.1
-13.199,1,1501399848,-3783425,2804038,4287262,0,0,0,11,1.1
-13.000,1,1501399848,-3783425,2804038,4287261,0,0,0,11,1.1
-12.791,1,1501399848,-3783426,2804038,4287265,0,0,0,11,1.1
-12.597,1,1501399849,-3783426,2804039,4287261,0,0,0,11,1.1
-12.400,1,1501399849,-3783426,2804039,4287261,0,0,0,11,1.1
-12.201,1,1501399849,-3783426,2804039,4287264,0,0,0,11,1.1
-11.995,1,1501399849,-3783428,2804038,4287271,0,0,0,11,1.1
-11.792,1,1501399849,-3783428,2804037,4287268,0,0,0,11,1.1
-11.597,1,1501399850,-3783428,2804038,4287268,0,0,0,11,1.1
-11.400,1,1501399850,-3783428,2804037,4287269,0,0,0,11,1.1
-11.200,1,1501399850,-3783428,2804039,4287268,0,0,0,11,1.1
-11.000,1,1501399850,-3783427,2804039,4287267,0,0,0,11,1.1
-10.791,1,1501399850,-3783427,2804038,4287269,0,0,0,11,1.1
-10.596,1,1501399851,-3783426,2804038,4287266,0,0,0,11,1.1
-10.399,1,1501399851,-3783426,2804038,4287265,0,0,0,11,1.1
-10.200,1,1501399851,-3783425,2804038,4287264,0,0,0,11,1.1
-10.000,1,1501399851,-3783425,2804039,4287263,0,0,0,11,1.1
-9.791,1,1501399851,-3783425,2804038,4287264,0,0,0,11,1.1
-9.597,1,1501399852,-3783426,2804037,4287265,0,0,0,11,1.1
-9.400,1,1501399852,-3783426,2804038,4287267,0,0,0,11,1.1
-9.201,1,1501399852,-3783426,2804038,4287267,0,0,0,11,1.1
-9.001,1,1501399852,-3783426,2804037,4287268,0,0,0,11,1.1
-8.791,1,1501399852,-3783427,2804037,4287269,0,0,0,11,1.1
-8.599,1,1501399853,-3783426,2804037,4287269,0,0,0,11,1.1
-8.400,1,1501399853,-3783426,2804037,4287271,0,0,0,11,1.1
-8.200,1,1501399853,-3783425,2804038,4287269,0,0,0,11,1.1
-8.001,1,1501399853,-3783426,2804038,4287271,0,0,0,11,1.1
-7.791,1,1501399853,-3783425,2804038,4287268,0,0,0,11,1.1
-7.597,1,1501399854,-3783425,2804039,4287266,0,0,0,11,1.1
-7.400,1,1501399854,-3783425,2804038,4287267,0,0,0,11,1.1
-7.198,1,1501399854,-3783426,2804037,4287267,0,0,0,11,1.1
-7.000,1,1501399854,-3783427,2804038,4287269,0,0,0,11,1.1
-6.792,1,1501399854,-3783426,2804039,4287269,0,0,0,11,1.1
-6.597,1,1501399855,-3783426,2804038,4287266,0,0,0,11,1.1
