# T[s],barometer[Pa],temp[C]
-11.547,101289,30.4
-11.446,101288,30.4
-11.347,101288,30.4
-11.247,101288,30.4
-11.147,101288,30.4
-11.047,101289,30.4
-10.947,101289,30.4
-10.843,101289,30.4
-10.743,101290,30.4
-10.647,101290,30.4
-10.547,101290,30.4
-10.447,101288,30.4
-10.347,101288,30.4
-10.246,101291,30.4
-10.146,101290,30.4
-10.046,101291,30.4
-9.945,101287,30.4
-9.847,101285,30.4
-9.747,101290,30.4
-9.646,101292,30.4
-9.546,101291,30.4
-9.447,101288,30.4
-9.346,101288,30.4
-9.245,101287,30.4
-9.147,101290,30.4
-9.046,101288,30.4
-8.946,101290,30.4
-8.847,101290,30.4
-8.746,101291,30.4
-8.647,101290,30.4
-8.547,101288,30.4
-8.447,101291,30.4
-8.346,101290,30.4
-8.246,101288,30.4
-8.147,101289,30.4
-8.047,101293,30.4
-7.947,101291,30.4
-7.846,101294,30.4
-7.746,101290,30.4
-7.645,101290,30.4
-7.547,101290,30.4
-7.446,101290,30.4
-7.347,101288,30.4
-7.247,101287,30.4
-7.146,101289,30.4
-7.046,101290,30.4
-6.945,101289,30.4
-6.847,101287,30.4
-6.747,101289,30.4
-6.646,101289,30.4
-6.546,101289,30.4
-6.446,101289,30.4
-6.347,101289,30.4
-6.247,101290,30.4
-6.147,101288,30.4
-6.047,101289,30.4
-5.946,101289,30.4
-5.846,101290,30.4
-5.746,101289,30.4
-5.645,101289,30.4
-5.543,101290,30.4
-5.442,101289,30.4
-5.346,101291,30.4
-5.242,101291,30.4
-5.147,101289,30.4
-5.047,101288,30.4
-4.947,101287,30.4
-4.846,101287,30.4
-4.746,101290,30.4
-4.646,101288,30.4
-4.545,101289,30.4
-4.445,101286,30.4
-4.347,101290,30.4
-4.246,101288,30.4
-4.147,101289,30.4
-4.045,101287,30.4
-3.946,101287,30.4
-3.847,101291,30.4
-3.746,101289,30.4
-3.645,101291,30.4
-3.547,101288,30.4
-3.446,101290,30.4
-3.345,101292,30.4
-3.245,101292,30.4
-3.147,101289,30.4
-3.046,101292,30.4
-2.947,101292,30.4
-2.846,101289,30.4
-2.746,101287,30.4
-2.646,101290,30.4
-2.546,101290,30.4
-2.445,101291,30.4
-2.347,101292,30.4
-2.246,101289,30.4
-2.146,101291,30.4
-2.045,101290,30.4
-1.946,101288,30.4
-1.847,101290,30.4
-1.745,101289,30.4
-1.646,101290,30.4
-1.546,101285,30.4
-1.447,101288,30.4
-1.341,101287,30.4
-1.247,101289,30.4
-1.147,101288,30.4
-1.046,101288,30.4
-0.946,101286,30.4
-0.845,101289,30.4
-0.747,101289,30.4
-0.646,101291,30.4
-0.547,101289,30.4
-0.446,101289,30.4
-0.345,101288,30.4
-0.246,101290,30.4
-0.147,101287,30.4
-0.045,101291,30.4
0.053,101288,30.4
0.154,101288,30.4
0.254,101290,30.4
0.354,101290,30.4
0.454,101290,30.4
0.554,101286,30.4
0.654,101290,30.4
0.754,101230,30.4
0.854,101249,30.4
0.957,101266,30.4
1.053,101272,30.4
1.153,101281,30.4
1.259,101274,30.4
1.353,101274,30.4
1.454,101262,30.4
1.559,101267,30.4
1.654,101263,30.4
1.753,101257,30.4
1.853,101256,30.4
1.956,101266,30.4
2.054,101251,30.4
2.154,101250,30.4
2.255,101238,30.4
2.354,101243,30.4
2.454,101238,30.4
2.553,101228,30.4
2.654,101229,30.4
2.754,101221,30.4
2.855,101213,30.4
2.954,101215,30.4
3.054,101205,30.4
3.155,101191,30.4
3.254,101189,30.4
3.354,101183,30.4
3.454,101180,30.4
3.554,101161,30.4
3.654,101155,30.4
3.753,101146,30.4
3.856,101134,30.4
3.954,101125,30.4
4.054,101118,30.4
4.154,101113,30.4
4.253,101091,30.4
4.357,101089,30.4
4.454,101077,30.4
4.554,101064,30.4
4.655,101052,30.4
4.754,101036,30.4
4.854,101029,30.4
4.959,101019,30.4
5.053,101009,30.4
5.154,100994,30.4
5.254,100976,30.4
5.354,100962,30.4
5.454,100957,30.4
5.554,100935,30.4
