T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-23.397,1,1501399838,-3783429,2804039,4287260,0,0,0,13,1.0
-23.197,1,1501399838,-3783430,2804040,4287260,0,0,0,13,1.0
-22.997,1,1501399838,-3783431,2804040,4287260,0,0,0,13,1.0
-22.781,1,1501399838,-3783430,2804038,4287261,0,0,0,13,1.0
-22.597,1,1501399839,-3783430,2804038,4287262,0,0,0,13,1.0
-22.396,1,1501399839,-3783429,2804039,4287262,0,0,0,13,1.0
-22.198,1,1501399839,-3783431,2804039,4287260,0,0,0,13,1.0
-21.997,1,1501399839,-3783429,2804038,4287260,0,0,0,13,1.0
-21.782,1,1501399839,-3783427,2804038,4287261,0,0,0,13,1.0
-21.597,1,1501399840,-3783428,2804038,4287263,0,0,0,13,1.0
-21.397,1,1501399840,-3783429,2804037,4287264,0,0,0,13,1.0
-21.197,1,1501399840,-3783429,2804035,4287263,0,0,0,13,1.0
-20.998,1,1501399840,-3783430,2804036,4287262,0,0,0,13,1.0
-20.781,1,1501399840,-3783428,2804038,4287261,0,0,0,13,1.0
-20.596,1,1501399841,-3783428,2804037,4287258,0,0,0,13,1.0
-20.396,1,1501399841,-3783426,2804037,4287254,0,0,0,13,1.0
-20.197,1,1501399841,-3783425,2804038,4287254,0,0,0,13,1.0
-19.997,1,1501399841,-3783425,2804038,4287254,0,0,0,13,1.0
-19.779,1,1501399841,-3783428,2804038,4287260,0,0,0,13,1.0
-19.593,1,1501399842,-3783429,2804038,4287260,0,0,0,13,1.0
-19.397,1,1501399842,-3783430,2804038,4287260,0,0,0,13,1.0
-19.197,1,1501399842,-3783430,2804037,4287259,0,0,0,13,1.0
-18.997,1,1501399842,-3783431,2804036,4287260,0,0,0,13,1.0
-18.781,1,1501399842,-3783430,2804036,4287259,0,0,0,13,1.0
-18.597,1,1501399843,-3783430,2804035,4287260,0,0,0,13,1.0
-18.398,1,1501399843,-3783431,2804036,4287262,0,0,0,13,1.0
-18.197,1,1501399843,-3783430,2804035,4287259,0,0,0,13,1.0
-17.996,1,1501399843,-3783431,2804034,4287260,0,0,0,13,1.0
-17.783,1,1501399843,-3783431,2804035,4287260,0,0,0,13,1.0
-17.597,1,1501399844,-3783430,2804036,4287259,0,0,0,13,1.0
-17.396,1,1501399844,-3783431,2804038,4287259,0,0,0,13,1.0
-17.198,1,1501399844,-3783431,2804037,4287262,0,0,0,13,1.0
-16.997,1,1501399844,-3783430,2804036,4287259,0,0,0,13,1.0
-16.783,1,1501399844,-3783431,2804037,4287258,0,0,0,13,1.0
-16.592,1,1501399845,-3783431,2804036,4287257,0,0,0,13,1.0
-16.397,1,1501399845,-3783431,2804036,4287257,0,0,0,13,1.0
-16.197,1,1501399845,-3783428,2804036,4287254,0,0,0,13,1.0
-15.996,1,1501399845,-3783429,2804036,4287257,0,0,0,13,1.0
-15.783,1,1501399845,-3783429,2804034,4287259,0,0,0,13,1.0
-15.597,1,1501399846,-3783429,2804035,4287255,0,0,0,13,1.0
-15.398,1,1501399846,-3783428,2804034,4287255,0,0,0,13,1.0
-15.198,1,1501399846,-3783428,2804034,4287256,0,0,0,13,1.0
-14.997,1,1501399846,-3783428,2804035,4287254,0,0,0,13,1.0
-14.782,1,1501399846,-3783427,2804036,4287253,0,0,0,13,1.0
-14.591,1,1501399847,-3783428,2804037,4287255,0,0,0,13,1.0
-14.389,1,1501399847,-3783430,2804037,4287257,0,0,0,13,1.0
-14.195,1,1501399847,-3783430,2804038,4287257,0,0,0,13,1.0
-13.993,1,1501399847,-3783428,2804037,4287255,0,0,0,13,1.0
-13.783,1,1501399847,-3783428,2804036,4287255,0,0,0,13,1.0
-13.596,1,1501399848,-3783427,2804036,4287255,0,0,0,13,1.0
-13.397,1,1501399848,-3783427,2804036,4287253,0,0,0,13,1.0
-13.196,1,1501399848,-3783427,2804035,4287255,0,0,0,13,1.0
-12.996,1,1501399848,-3783427,2804035,4287254,0,0,0,13,1.0
-12.781,1,1501399848,-3783427,2804036,4287252,0,0,0,13,1.0
-12.595,1,1501399849,-3783426,2804036,4287256,0,0,0,13,1.0
-12.397,1,1501399849,-3783428,2804037,4287257,0,0,0,13,1.0
-12.197,1,1501399849,-3783429,2804038,4287257,0,0,0,13,1.0
-11.995,1,1501399849,-3783429,2804036,4287256,0,0,0,13,1.0
-11.782,1,1501399849,-3783431,2804037,4287257,0,0,0,13,1.0
-11.596,1,1501399850,-3783428,2804036,4287252,0,0,0,13,1.0
-11.398,1,1501399850,-3783428,2804036,4287252,0,0,0,13,1.0
