# T[s],P5[MPa]
-38.084,27.283
-38.075,27.283
-38.064,27.283
-38.053,27.283
-38.043,27.283
-38.035,27.283
-38.023,27.283
-38.014,27.283
-38.004,27.283
-37.994,27.283
-37.985,27.283
-37.975,27.283
-37.965,27.283
-37.955,27.283
-37.945,27.283
-37.935,27.283
-37.925,27.283
-37.915,27.283
-37.904,27.283
-37.894,27.283
-37.883,27.283
-37.874,27.283
-37.865,27.258
-37.854,27.283
-37.846,27.283
-37.834,27.283
-37.826,27.258
-37.814,27.283
-37.805,27.283
-37.795,27.283
-37.785,27.283
-37.775,27.283
-37.765,27.283
-37.754,27.283
-37.744,27.258
-37.736,27.283
-37.723,27.283
-37.715,27.283
-37.703,27.283
-37.695,27.283
-37.684,27.283
-37.674,27.283
-37.663,27.283
-37.650,27.283
-37.642,27.258
-37.634,27.283
-37.625,27.283
-37.615,27.283
-37.605,27.283
-37.594,27.283
-37.585,27.283
-37.574,27.283
-37.564,27.283
-37.554,27.283
-37.545,27.283
-37.535,27.283
-37.525,27.283
-37.515,27.283
-37.505,27.283
-37.494,27.283
-37.484,27.283
-37.474,27.283
-37.463,27.283
-37.453,27.283
-37.443,27.308
-37.435,27.333
-37.424,27.308
-37.415,27.308
-37.405,27.283
-37.395,27.283
-37.384,27.283
-37.375,27.283
-37.365,27.283
-37.355,27.283
-37.345,27.283
-37.334,27.283
-37.325,27.283
-37.314,27.283
-37.306,27.283
-37.295,27.283
-37.284,27.283
-37.275,27.283
-37.265,27.283
-37.254,27.283
-37.245,27.283
-37.234,27.283
-37.224,27.283
-37.215,27.283
-37.205,27.283
-37.195,27.283
-37.183,27.283
-37.175,27.283
-37.165,27.283
-37.154,27.283
-37.145,27.283
-37.131,27.283
-37.120,27.283
-37.111,27.283
-37.105,27.283
-37.095,27.283
-37.085,27.283
-37.075,27.283
-37.065,27.283
-37.054,27.283
-37.046,27.283
-37.035,27.283
-37.025,27.283
-37.015,27.283
-37.004,27.283
-36.994,27.283
-36.985,27.283
-36.974,27.283
-36.965,27.283
-36.953,27.283
-36.945,27.283
-36.935,27.258
-36.923,27.283
-36.915,27.283
-36.904,27.283
-36.894,27.283
-36.882,27.283
-36.871,27.283
-36.862,27.283
-36.854,27.283
-36.845,27.283
-36.835,27.283
-36.824,27.283
-36.815,27.283
-36.804,27.283
-36.794,27.283
-36.783,27.283
-36.773,27.283
-36.765,27.283
-36.755,27.283
-36.745,27.308
-36.735,27.308
-36.724,27.308
-36.713,27.308
-36.700,27.308
-36.691,27.283
-36.684,27.283
-36.674,27.283
-36.665,27.283
-36.654,27.283
-36.644,27.283
-36.635,27.283
-36.624,27.283
-36.615,27.283
-36.605,27.283
-36.594,27.283
-36.585,27.283
-36.575,27.283
-36.564,27.283
-36.555,27.283
