# T[s],IIP_lat[deg],IIP_lng[deg]
-14.698,42.506172,143.456467
-14.588,42.506111,143.456497
-14.499,42.506168,143.456467
-14.394,42.506115,143.456497
-14.300,42.506180,143.456482
-14.198,42.506119,143.456512
-14.099,42.506168,143.456467
-13.993,42.506115,143.456497
-13.899,42.506168,143.456467
-13.799,42.506115,143.456497
-13.699,42.506168,143.456467
-13.596,42.506119,143.456497
-13.491,42.506187,143.456467
-13.399,42.506123,143.456497
-13.299,42.506180,143.456451
-13.199,42.506111,143.456497
-13.099,42.506172,143.456467
-12.999,42.506126,143.456512
-12.899,42.506168,143.456467
-12.799,42.506123,143.456512
-12.698,42.506187,143.456467
-12.598,42.506104,143.456497
-12.499,42.506157,143.456467
-12.397,42.506134,143.456497
-12.299,42.506157,143.456467
-12.197,42.506130,143.456497
-12.099,42.506180,143.456467
-12.000,42.506123,143.456497
-11.900,42.506218,143.456482
-11.799,42.506123,143.456512
-11.699,42.506203,143.456497
-11.596,42.506115,143.456512
-11.499,42.506199,143.456482
-11.397,42.506100,143.456497
-11.299,42.506210,143.456497
-11.197,42.506100,143.456497
-11.099,42.506195,143.456467
-10.998,42.506104,143.456497
-10.898,42.506195,143.456467
-10.799,42.506126,143.456497
-10.698,42.506210,143.456482
-10.598,42.506119,143.456482
-10.499,42.506195,143.456467
-10.396,42.506130,143.456497
-10.300,42.506187,143.456467
-10.199,42.506123,143.456497
-10.100,42.506187,143.456467
-9.997,42.506111,143.456482
-9.899,42.506176,143.456451
-9.799,42.506111,143.456482
-9.699,42.506187,143.456467
-9.598,42.506062,143.456467
-9.499,42.506191,143.456482
-9.400,42.506077,143.456482
-9.299,42.506203,143.456467
-9.197,42.506084,143.456482
-9.099,42.506203,143.456467
-8.999,42.506084,143.456436
-8.895,42.506210,143.456482
-8.800,42.506077,143.456451
-8.699,42.506214,143.456482
-8.599,42.506069,143.456451
-8.499,42.506218,143.456482
-8.399,42.506077,143.456451
-8.299,42.506233,143.456482
-8.196,42.506092,143.456467
-8.099,42.506222,143.456467
-7.999,42.506096,143.456451
-7.899,42.506229,143.456467
-7.799,42.506096,143.456451
-7.700,42.506214,143.456467
-7.600,42.506092,143.456467
-7.499,42.506195,143.456451
-7.399,42.506092,143.456467
-7.298,42.506207,143.456467
-7.197,42.506084,143.456451
-7.100,42.506207,143.456482
-6.996,42.506088,143.456467
-6.899,42.506210,143.456482
-6.799,42.506081,143.456482
-6.699,42.506210,143.456467
-6.600,42.506084,143.456497
-6.498,42.506195,143.456467
-6.400,42.506081,143.456482
-6.297,42.506180,143.456467
-6.199,42.506069,143.456467
-6.099,42.506195,143.456482
-5.996,42.506088,143.456482
-5.899,42.506203,143.456497
-5.796,42.506100,143.456482
-5.700,42.506203,143.456497
-5.594,42.506107,143.456467
-5.499,42.506203,143.456497
-5.397,42.506092,143.456482
-5.299,42.506214,143.456482
-5.195,42.506107,143.456497
-5.099,42.506207,143.456482
-4.996,42.506107,143.456497
-4.899,42.506172,143.456482
-4.799,42.506138,143.456482
-4.699,42.506172,143.456482
-4.595,42.506145,143.456497
-4.496,42.506172,143.456497
-4.396,42.506123,143.456497
-4.299,42.506180,143.456482
-4.197,42.506115,143.456497
-4.099,42.506191,143.456497
-3.997,42.506119,143.456482
-3.900,42.506184,143.456497
-3.799,42.506123,143.456482
-3.699,42.506172,143.456482
-3.598,42.506115,143.456497
-3.499,42.506180,143.456482
-3.397,42.506123,143.456497
-3.299,42.506207,143.456497
-3.199,42.506119,143.456497
-3.097,42.506187,143.456482
-2.997,42.506119,143.456482
-2.893,42.506195,143.456482
-2.798,42.506119,143.456497
-2.699,42.506187,143.456451
-2.597,42.506138,143.456528
-2.499,42.506195,143.456482
-2.396,42.506138,143.456528
-2.299,42.506187,143.456497
-2.198,42.506119,143.456512
-2.099,42.506184,143.456482
-1.996,42.506145,143.456528
-1.899,42.506210,143.456497
-1.794,42.506149,143.456512
-1.699,42.506199,143.456497
-1.597,42.506138,143.456512
-1.499,42.506195,143.456497
-1.395,42.506134,143.456512
-1.299,42.506180,143.456497
-1.196,42.506130,143.456512
-1.095,42.506180,143.456497
-0.997,42.506130,143.456512
-0.899,42.506191,143.456482
-0.800,42.506130,143.456512
-0.698,42.506172,143.456482
-0.598,42.506157,143.456497
-0.499,42.506172,143.456482
-0.397,42.506161,143.456512
-0.299,42.506157,143.456467
-0.197,42.506145,143.456497
-0.099,42.506176,143.456467
0.004,42.506145,143.456497
0.101,42.506199,143.456467
0.201,42.506145,143.456497
0.301,42.506199,143.456467
0.400,42.506153,143.456512
0.505,42.506199,143.456467
0.608,42.506138,143.456497
0.703,42.506187,143.456467
0.803,42.506168,143.456528
0.901,42.506187,143.456451
1.000,42.506149,143.456512
1.101,42.506184,143.456467
1.201,42.506153,143.456497
1.302,42.506176,143.456467
1.405,42.506134,143.456497
1.502,42.506199,143.456436
1.603,42.506142,143.456512
1.707,42.506180,143.456436
1.804,42.506134,143.456512
1.901,42.506176,143.456451
2.001,42.506138,143.456482
2.101,42.506157,143.456436
2.201,42.506145,143.456482
2.300,42.506153,143.456451
2.405,42.506145,143.456482
2.502,42.506184,143.456451
2.604,42.506145,143.456482
2.701,42.506153,143.456451
2.803,42.506142,143.456482
2.900,42.506168,143.456451
3.001,42.506134,143.456482
3.101,42.506165,143.456451
3.203,42.506130,143.456467
3.301,42.506161,143.456451
3.401,42.506145,143.456482
3.500,42.506172,143.456467
3.602,42.506130,143.456482
3.701,42.506153,143.456467
3.801,42.506134,143.456467
3.901,42.506153,143.456451
4.005,42.506149,143.456467
4.101,42.506161,143.456467
4.206,42.506153,143.456467
4.301,42.506149,143.456451
4.401,42.506134,143.456482
4.506,42.506142,143.456451
4.603,42.506138,143.456467
4.701,42.506153,143.456451
4.803,42.506142,143.456467
4.901,42.506149,143.456436
5.004,42.506134,143.456467
5.101,42.506161,143.456451
5.201,42.506134,143.456467
5.302,42.506149,143.456451
5.401,42.506126,143.456467
5.501,42.506153,143.456467
5.601,42.506123,143.456467
5.701,42.506157,143.456467
5.801,42.506107,143.456467
5.902,42.506142,143.456467
6.002,42.506123,143.456467
6.101,42.506142,143.456451
6.201,42.506107,143.456467
6.301,42.506153,143.456436
6.403,42.506111,143.456467
6.501,42.506145,143.456451
6.603,42.506115,143.456467
6.701,42.506145,143.456436
6.801,42.506107,143.456467
6.904,42.506134,143.456451
7.002,42.506092,143.456451
7.102,42.506111,143.456436
7.200,42.506111,143.456451
7.301,42.506119,143.456451
7.405,42.506104,143.456467
7.501,42.506123,143.456436
7.601,42.506100,143.456467
7.701,42.506111,143.456436
7.802,42.506100,143.456467
7.901,42.506119,143.456436
8.002,42.506100,143.456467
8.107,42.506107,143.456436
8.201,42.506084,143.456467
8.301,42.506119,143.456436
8.405,42.506077,143.456451
8.501,42.506123,143.456436
8.601,42.506088,143.456467
8.701,42.506119,143.456436
8.802,42.506092,143.456467
8.901,42.506130,143.456436
9.005,42.506084,143.456436
9.103,42.506123,143.456436
9.201,42.506084,143.456451
9.301,42.506107,143.456436
9.401,42.506092,143.456451
9.501,42.506092,143.456436
9.600,42.506081,143.456467
9.702,42.506100,143.456436
9.804,42.506069,143.456451
9.901,42.506107,143.456451
10.001,42.506046,143.456451
10.101,42.506107,143.456451
10.202,42.506046,143.456451
10.302,42.506073,143.456436
10.402,42.506050,143.456467
10.501,42.506081,143.456436
10.601,42.506054,143.456467
10.701,42.506084,143.456421
10.801,42.506046,143.456451
10.902,42.506088,143.456436
11.001,42.506050,143.456451
11.102,42.506092,143.456436
11.201,42.506035,143.456436
11.302,42.506077,143.456406
11.402,42.505714,143.456284
11.501,42.506081,143.456421
11.602,42.506020,143.456436
11.701,42.506077,143.456421
11.801,42.506027,143.456436
11.901,42.506062,143.456421
12.002,42.506027,143.456421
12.101,42.506050,143.456421
12.202,42.506046,143.456436
12.301,42.506065,143.456436
12.401,42.506027,143.456436
12.501,42.506069,143.456436
12.602,42.506027,143.456451
12.702,42.506062,143.456436
12.801,42.506012,143.456436
12.901,42.506058,143.456436
13.001,42.506016,143.456436
13.101,42.506065,143.456436
13.202,42.506023,143.456467
13.302,42.506046,143.456451
13.402,42.506001,143.456451
13.502,42.506069,143.456436
13.602,42.506008,143.456451
13.702,42.506077,143.456451
13.801,42.505993,143.456436
13.901,42.506054,143.456421
14.000,42.506001,143.456451
14.101,42.506050,143.456421
14.201,42.505524,143.456345
14.301,42.506031,143.456421
14.402,42.505959,143.456406
14.501,42.506031,143.456421
14.602,42.505981,143.456421
14.701,42.506035,143.456436
14.801,42.505997,143.456467
14.903,42.506058,143.456421
15.002,42.506012,143.456467
15.102,42.506062,143.456436
15.202,42.506039,143.456482
15.301,42.506073,143.456436
15.402,42.506027,143.456467
15.502,42.506092,143.456436
15.601,42.506001,143.456467
15.701,42.506065,143.456451
15.802,42.505981,143.456467
15.902,42.506046,143.456467
16.002,42.506004,143.456482
16.101,42.506023,143.456467
16.204,42.506012,143.456482
16.301,42.506001,143.456451
16.400,42.506012,143.456497
16.502,42.506016,143.456482
16.605,42.506050,143.456512
16.702,42.506027,143.456482
16.802,42.506016,143.456497
16.902,42.506027,143.456497
17.002,42.505997,143.456497
17.102,42.506012,143.456497
17.201,42.506020,143.456512
17.301,42.506023,143.456512
17.402,42.506001,143.456512
17.501,42.506016,143.456528
17.602,42.505989,143.456512
17.702,42.506012,143.456528
17.806,42.505970,143.456512
17.901,42.505798,143.457138
18.002,42.505993,143.456528
18.101,42.505795,143.457169
18.201,42.505764,143.457123
18.302,42.505772,143.457153
18.406,42.505737,143.457153
18.502,42.505772,143.457214
18.603,42.505711,143.457184
18.702,42.505764,143.457245
18.802,42.505722,143.457230
18.902,42.505779,143.457275
19.003,42.505676,143.457260
19.102,42.505760,143.457321
19.201,42.505653,143.457275
19.306,42.505768,143.457352
19.401,42.505737,143.457352
19.502,42.505718,143.457352
19.603,42.505714,143.457382
