# T[s],q0
-38.087,0.99999684
-38.076,0.99999684
-38.066,0.99999684
-38.056,0.99999684
-38.046,0.99999684
-38.035,0.99999684
-38.026,0.99999684
-38.015,0.99999684
-38.007,0.99999684
-37.996,0.99999684
-37.986,0.99999684
-37.976,0.99999684
-37.966,0.99999684
-37.957,0.99999684
-37.946,0.99999684
-37.936,0.99999684
-37.927,0.99999684
-37.915,0.99999684
-37.906,0.99999684
-37.896,0.99999684
-37.886,0.99999684
-37.876,0.99999684
-37.866,0.99999684
-37.857,0.99999684
-37.847,0.99999684
-37.837,0.99999684
-37.827,0.99999684
-37.816,0.99999684
-37.806,0.99999684
-37.796,0.99999684
-37.786,0.99999684
-37.776,0.99999684
-37.766,0.99999684
-37.755,0.99999684
-37.747,0.99999684
-37.736,0.99999684
-37.726,0.99999684
-37.716,0.99999684
-37.706,0.99999684
-37.695,0.99999684
-37.685,0.99999684
-37.677,0.99999684
-37.664,0.99999684
-37.653,0.99999684
-37.642,0.99999684
-37.636,0.99999684
-37.626,0.99999684
-37.616,0.99999684
-37.605,0.99999684
-37.596,0.99999684
-37.586,0.99999684
-37.575,0.99999684
-37.567,0.99999684
-37.556,0.99999684
-37.546,0.99999684
-37.536,0.99999684
-37.526,0.99999684
-37.516,0.99999684
-37.506,0.99999684
-37.495,0.99999684
-37.486,0.99999684
-37.475,0.99999684
-37.466,0.99999684
-37.456,0.99999684
-37.446,0.99999684
-37.436,0.99999684
-37.426,0.99999684
-37.415,0.99999690
-37.407,0.99999690
-37.395,0.99999690
-37.386,0.99999690
-37.376,0.99999690
-37.366,0.99999690
-37.355,0.99999690
-37.346,0.99999690
-37.337,0.99999690
-37.327,0.99999690
-37.317,0.99999690
-37.306,0.99999690
-37.295,0.99999690
-37.286,0.99999690
-37.276,0.99999690
-37.266,0.99999690
-37.256,0.99999690
-37.245,0.99999690
-37.235,0.99999690
-37.227,0.99999690
-37.216,0.99999690
-37.206,0.99999690
-37.196,0.99999684
-37.186,0.99999684
-37.176,0.99999690
-37.165,0.99999684
-37.157,0.99999684
-37.146,0.99999684
-37.133,0.99999684
-37.122,0.99999684
-37.113,0.99999684
-37.106,0.99999684
-37.096,0.99999684
-37.086,0.99999684
-37.077,0.99999684
-37.066,0.99999684
-37.057,0.99999684
-37.046,0.99999684
-37.036,0.99999684
-37.025,0.99999684
-37.016,0.99999684
-37.007,0.99999684
-36.997,0.99999684
-36.987,0.99999684
-36.977,0.99999684
-36.967,0.99999684
-36.956,0.99999684
-36.946,0.99999684
-36.936,0.99999684
-36.926,0.99999684
-36.915,0.99999684
-36.906,0.99999684
-36.897,0.99999678
-36.885,0.99999684
-36.872,0.99999684
-36.863,0.99999684
-36.855,0.99999684
-36.846,0.99999684
-36.836,0.99999684
-36.826,0.99999684
-36.817,0.99999684
-36.805,0.99999684
-36.795,0.99999684
-36.786,0.99999684
-36.776,0.99999684
-36.766,0.99999684
-36.756,0.99999684
-36.746,0.99999684
-36.737,0.99999684
-36.726,0.99999684
-36.715,0.99999684
-36.701,0.99999678
-36.693,0.99999678
-36.686,0.99999684
-36.675,0.99999684
-36.666,0.99999684
-36.655,0.99999678
-36.647,0.99999678
-36.635,0.99999678
-36.627,0.99999678
-36.615,0.99999678
-36.606,0.99999678
-36.596,0.99999678
-36.585,0.99999678
-36.576,0.99999678
-36.565,0.99999678
-36.556,0.99999678
-36.546,0.99999678
-36.537,0.99999672
-36.526,0.99999672
-36.516,0.99999672
-36.506,0.99999672
-36.495,0.99999672
-36.486,0.99999672
-36.475,0.99999672
-36.466,0.99999672
-36.457,0.99999672
-36.447,0.99999672
-36.436,0.99999672
-36.426,0.99999672
-36.416,0.99999672
-36.406,0.99999672
-36.396,0.99999672
-36.386,0.99999672
-36.375,0.99999672
-36.366,0.99999672
-36.356,0.99999672
-36.346,0.99999678
-36.336,0.99999678
-36.326,0.99999672
-36.316,0.99999672
-36.306,0.99999678
-36.297,0.99999678
-36.287,0.99999678
-36.277,0.99999678
-36.266,0.99999672
-36.256,0.99999678
-36.246,0.99999672
-36.236,0.99999672
-36.225,0.99999672
-36.215,0.99999678
-36.207,0.99999678
-36.195,0.99999678
-36.186,0.99999672
-36.176,0.99999672
-36.166,0.99999678
-36.156,0.99999678
-36.146,0.99999672
-36.135,0.99999672
-36.126,0.99999672
-36.117,0.99999672
-36.107,0.99999666
-36.096,0.99999672
-36.085,0.99999666
-36.076,0.99999672
-36.066,0.99999666
-36.056,0.99999666
-36.045,0.99999666
-36.036,0.99999666
-36.027,0.99999666
-36.017,0.99999666
-36.006,0.99999666
-35.996,0.99999666
-35.986,0.99999666
-35.976,0.99999666
