# T[s],T2[C]
-37.801,-68.4
-37.501,-68.2
-37.199,-68.1
-36.901,-67.9
-36.599,-67.8
-36.299,-67.6
-36.000,-67.5
-35.701,-67.3
-35.396,-67.2
-35.101,-67.1
-34.794,-67.0
-34.494,-67.0
-34.200,-67.0
-33.895,-67.0
-33.600,-67.0
-33.301,-67.0
-33.000,-66.9
-32.699,-66.9
-32.400,-67.0
-32.101,-67.0
-31.800,-67.1
-31.500,-67.2
-31.200,-67.3
-30.901,-67.4
-30.600,-67.5
-30.300,-67.5
-30.000,-67.5
-29.700,-67.6
-29.400,-67.6
-29.099,-67.6
-28.800,-67.7
-28.498,-67.7
-28.201,-67.7
-27.900,-67.8
-27.600,-67.8
-27.300,-67.7
-26.999,-67.8
-26.699,-67.8
-26.401,-67.8
-26.100,-67.8
-25.801,-67.8
-25.498,-67.8
-25.199,-67.8
-24.900,-67.8
-24.601,-67.8
-24.297,-68.0
-24.000,-68.0
-23.700,-68.0
-23.399,-68.1
-23.100,-68.1
-22.801,-68.3
-22.496,-68.3
-22.199,-68.4
-21.900,-68.5
-21.599,-68.6
-21.300,-68.7
-20.999,-68.8
-20.700,-68.9
-20.400,-69.0
-20.100,-69.1
-19.798,-69.2
-19.500,-69.4
-19.200,-69.6
-18.899,-69.7
-18.600,-69.8
-18.299,-70.1
-18.000,-70.3
-17.694,-70.4
-17.400,-70.6
-17.100,-70.9
-16.800,-71.0
-16.496,-71.2
-16.200,-71.5
-15.901,-71.6
-15.599,-71.8
-15.301,-72.0
-15.000,-72.2
-14.701,-72.4
-14.394,-72.6
-14.101,-72.8
-13.800,-73.0
-13.493,-73.3
-13.199,-73.4
-12.901,-73.6
-12.598,-73.8
-12.299,-74.1
-12.000,-74.2
-11.700,-74.4
-11.399,-74.6
-11.100,-74.8
-10.799,-75.1
-10.499,-75.3
-10.199,-75.5
-9.900,-75.6
-9.598,-76.0
-9.300,-76.2
-9.000,-76.3
-8.700,-76.5
-8.400,-76.7
-8.099,-77.0
-7.799,-77.1
-7.500,-77.4
-7.199,-77.5
-6.900,-77.7
-6.600,-77.9
-6.300,-78.1
-5.998,-78.3
-5.700,-78.5
-5.399,-78.7
-5.100,-79.0
-4.799,-79.1
-4.497,-79.2
-4.199,-79.4
-3.900,-79.6
-3.600,-79.9
-3.299,-80.2
-3.001,-80.6
-2.700,-81.1
-2.399,-81.4
-2.099,-81.9
-1.794,-82.3
-1.499,-82.7
-1.199,-83.1
-0.900,-83.5
-0.599,-83.9
-0.300,-84.4
0.001,-84.7
0.300,-85.2
0.603,-85.4
0.900,-85.8
1.200,-86.1
1.501,-86.3
1.800,-86.7
2.101,-86.8
2.402,-87.1
2.701,-87.3
3.000,-87.4
3.301,-87.5
3.602,-87.5
3.901,-87.6
4.206,-87.5
4.506,-87.6
4.800,-87.5
5.101,-87.5
5.400,-87.4
5.701,-87.3
6.000,-87.2
6.301,-86.9
6.600,-86.9
6.903,-86.7
7.200,-86.5
7.501,-86.3
7.800,-86.1
8.107,-85.9
8.400,-85.6
8.700,-85.2
9.001,-84.9
9.301,-84.6
9.600,-84.3
9.900,-84.0
10.201,-83.7
10.500,-83.2
10.801,-83.1
11.101,-82.7
11.401,-82.2
11.700,-82.0
12.001,-81.5
12.300,-81.1
12.602,-80.7
12.900,-80.4
13.201,-80.0
13.500,-79.7
13.801,-79.3
14.100,-78.9
14.402,-78.5
14.701,-78.2
15.002,-77.8
15.301,-77.5
15.601,-77.1
15.900,-76.8
16.204,-76.5
16.502,-76.3
16.802,-75.9
17.102,-75.6
17.402,-75.4
17.702,-75.1
18.001,-74.8
18.302,-74.6
18.601,-74.3
18.902,-74.1
19.201,-73.8
19.501,-73.6
19.801,-73.3
20.101,-73.0
20.401,-72.8
20.701,-72.5
21.001,-72.3
21.302,-72.1
21.601,-71.8
21.901,-71.5
22.201,-71.4
22.501,-71.0
22.801,-70.8
23.101,-70.5
23.402,-70.3
23.702,-70.1
24.001,-69.8
24.301,-69.6
24.601,-69.2
24.902,-69.0
25.202,-68.7
25.501,-68.4
25.800,-68.1
26.102,-67.8
26.404,-67.6
26.701,-67.3
27.002,-67.1
27.301,-66.9
27.602,-66.5
27.901,-66.3
28.202,-66.0
28.501,-65.7
28.805,-65.4
29.101,-65.2
29.402,-64.9
29.701,-64.6
30.002,-64.4
30.301,-64.0
30.606,-63.9
30.901,-63.5
31.202,-63.2
31.501,-62.9
31.801,-62.6
32.402,-62.1
32.701,-61.8
33.301,-61.3
33.602,-61.0
33.902,-60.5
34.201,-60.3
34.500,-59.8
38.102,-56.5
39.001,-55.8
41.102,-53.8
41.401,-53.6
41.702,-53.1
