# T[s],q2
-35.185,0.00215870
-35.175,0.00215710
-35.165,0.00215651
-35.155,0.00215401
-35.146,0.00215151
-35.136,0.00215712
-35.125,0.00216032
-35.116,0.00215225
-35.105,0.00215054
-35.095,0.00214804
-35.086,0.00214987
-35.076,0.00215072
-35.066,0.00215426
-35.055,0.00216039
-35.046,0.00216057
-35.035,0.00215892
-35.025,0.00215933
-35.015,0.00215631
-35.005,0.00215392
-34.996,0.00215251
-34.986,0.00215036
-34.975,0.00215386
-34.965,0.00215977
-34.956,0.00215883
-34.946,0.00216383
-34.935,0.00216670
-34.925,0.00216663
-34.915,0.00216516
-34.906,0.00216505
-34.896,0.00215958
-34.885,0.00215633
-34.875,0.00215521
-34.866,0.00215529
-34.855,0.00215465
-34.846,0.00215301
-34.835,0.00215845
-34.825,0.00215814
-34.811,0.00215702
-34.800,0.00215336
-34.790,0.00215012
-34.786,0.00215270
-34.775,0.00215244
-34.765,0.00215540
-34.755,0.00216216
-34.745,0.00216344
-34.735,0.00216885
-34.726,0.00217457
-34.716,0.00217376
-34.705,0.00217365
-34.696,0.00217636
-34.686,0.00217789
-34.675,0.00217947
-34.665,0.00218234
-34.655,0.00217811
-34.645,0.00217313
-34.635,0.00217053
-34.626,0.00217466
-34.616,0.00217726
-34.606,0.00217387
-34.595,0.00217078
-34.585,0.00217121
-34.575,0.00217044
-34.564,0.00217308
-34.555,0.00216968
-34.546,0.00217197
-34.535,0.00217338
-34.526,0.00216907
-34.516,0.00217065
-34.503,0.00216420
-34.489,0.00216557
-34.484,0.00216228
-34.475,0.00216190
-34.465,0.00216205
-34.454,0.00216245
-34.446,0.00216984
-34.435,0.00217017
-34.425,0.00216801
-34.415,0.00216657
-34.406,0.00216226
-34.396,0.00216911
-34.386,0.00216198
-34.374,0.00216542
-34.365,0.00216516
-34.356,0.00216494
-34.346,0.00216430
-34.335,0.00216744
-34.325,0.00216824
-34.315,0.00217404
-34.306,0.00217314
-34.296,0.00217045
-34.286,0.00216712
-34.275,0.00216303
-34.266,0.00215920
-34.256,0.00215648
-34.246,0.00214965
-34.235,0.00215450
-34.226,0.00214933
-34.216,0.00215219
-34.204,0.00215460
-34.196,0.00215157
-34.186,0.00215487
-34.176,0.00215707
-34.166,0.00215341
-34.155,0.00215567
-34.145,0.00215168
-34.135,0.00215318
-34.123,0.00215312
-34.108,0.00215691
-34.102,0.00215562
-34.094,0.00215838
-34.086,0.00215899
-34.076,0.00215244
-34.065,0.00215168
-34.055,0.00215442
-34.046,0.00215080
-34.035,0.00215239
-34.025,0.00215308
-34.015,0.00215092
-34.005,0.00215096
-33.995,0.00214557
-33.985,0.00213888
-33.975,0.00214333
-33.965,0.00214336
-33.955,0.00214315
-33.946,0.00214973
-33.936,0.00215244
-33.926,0.00214999
-33.914,0.00215046
-33.903,0.00215194
-33.889,0.00215033
-33.884,0.00215020
-33.874,0.00214937
-33.866,0.00214913
-33.854,0.00214871
-33.846,0.00215136
-33.836,0.00215079
-33.826,0.00215215
-33.815,0.00214918
-33.805,0.00214583
-33.795,0.00215321
-33.785,0.00215600
-33.774,0.00214756
-33.762,0.00214781
-33.755,0.00215531
-33.745,0.00215796
-33.736,0.00215707
-33.725,0.00216495
-33.715,0.00216539
-33.705,0.00216944
-33.695,0.00217134
-33.685,0.00216689
-33.676,0.00216944
-33.666,0.00217359
-33.655,0.00217775
-33.641,0.00217987
-33.631,0.00218618
-33.624,0.00218291
-33.615,0.00217468
-33.606,0.00218115
-33.596,0.00218064
-33.586,0.00217691
-33.576,0.00217185
-33.566,0.00217159
-33.555,0.00217180
-33.545,0.00217410
-33.535,0.00217539
-33.526,0.00217929
-33.516,0.00217334
-33.505,0.00217554
-33.496,0.00217381
-33.486,0.00217265
-33.476,0.00217287
-33.465,0.00217471
-33.455,0.00217415
-33.445,0.00217940
-33.434,0.00217940
-33.424,0.00217802
-33.416,0.00217830
-33.405,0.00217741
-33.396,0.00217563
-33.385,0.00217475
-33.375,0.00217315
-33.365,0.00216458
-33.356,0.00216292
-33.344,0.00216960
-33.336,0.00217338
-33.326,0.00217054
-33.315,0.00216546
-33.306,0.00217066
-33.295,0.00217253
-33.286,0.00217059
-33.276,0.00217345
-33.266,0.00217297
-33.256,0.00217119
-33.246,0.00217183
-33.235,0.00216780
-33.226,0.00216986
-33.215,0.00217001
-33.205,0.00217353
-33.195,0.00217113
