# T[s],CAN_REC,CAN_TEC,ErrorFlag,Uptime[s]
-15.465,0,0,0,25110
-15.365,0,0,0,25110
-15.266,0,0,0,25110
-15.166,0,0,0,25111
-15.065,0,0,0,25111
-14.965,0,0,0,25111
-14.865,0,0,0,25111
-14.764,0,0,0,25111
-14.666,0,0,0,25111
-14.564,0,0,0,25111
-14.463,0,0,0,25111
-14.363,0,0,0,25111
-14.265,0,0,0,25111
-14.164,0,0,0,25112
-14.064,0,0,0,25112
-13.962,0,0,0,25112
-13.864,0,0,0,25112
-13.765,0,0,0,25112
-13.665,0,0,0,25112
-13.565,0,0,0,25112
-13.466,0,0,0,25112
-13.366,0,0,0,25112
-13.265,0,0,0,25112
-13.165,0,0,0,25113
-13.065,0,0,0,25113
-12.965,0,0,0,25113
-12.864,0,0,0,25113
-12.764,0,0,0,25113
-12.663,0,0,0,25113
-12.565,0,0,0,25113
-12.465,0,0,0,25113
-12.365,0,0,0,25113
-12.264,0,0,0,25113
-12.166,0,0,0,25114
-12.066,0,0,0,25114
-11.965,0,0,0,25114
-11.865,0,0,0,25114
-11.765,0,0,0,25114
-11.662,0,0,0,25114
-11.564,0,0,0,25114
-11.466,0,0,0,25114
-11.365,0,0,0,25114
-11.265,0,0,0,25114
-11.165,0,0,0,25115
-11.065,0,0,0,25115
-10.964,0,0,0,25115
-10.866,0,0,0,25115
-10.763,0,0,0,25115
-10.665,0,0,0,25115
-10.565,0,0,0,25115
-10.465,0,0,0,25115
-10.364,0,0,0,25115
-10.266,0,0,0,25115
-10.165,0,0,0,25116
-10.065,0,0,0,25116
-9.965,0,0,0,25116
-9.865,0,0,0,25116
-9.765,0,0,0,25116
-9.666,0,0,0,25116
-9.565,0,0,0,25116
-9.465,0,0,0,25116
-9.365,0,0,0,25116
-9.265,0,0,0,25116
-9.164,0,0,0,25117
-9.060,0,0,0,25117
-8.964,0,0,0,25117
-8.865,0,0,0,25117
-8.765,0,0,0,25117
-8.664,0,0,0,25117
-8.565,0,0,0,25117
-8.464,0,0,0,25117
