# T[s],T4[C],T5[C]
-13.633,9.9,8.4
-13.533,9.9,8.4
-13.430,9.9,8.5
-13.334,10.0,8.5
-13.234,10.0,8.5
-13.134,10.1,8.5
-13.034,9.9,8.5
-12.933,10.1,8.5
-12.833,9.9,8.4
-12.733,9.9,8.4
-12.633,9.9,8.4
-12.533,9.9,8.4
-12.434,9.9,8.4
-12.333,9.9,8.4
-12.233,9.9,8.5
-12.133,9.9,8.5
-12.029,9.9,8.5
-11.933,9.9,8.5
-11.833,9.9,8.5
-11.733,9.9,8.5
-11.633,9.9,8.5
-11.533,9.9,8.4
-11.433,9.9,8.5
-11.334,9.9,8.5
-11.234,9.9,8.5
-11.133,9.9,8.4
-11.033,9.9,8.4
-10.933,9.9,8.5
-10.828,9.9,8.5
-10.728,9.9,8.4
-10.634,9.7,8.4
-10.533,9.7,8.4
-10.433,9.7,8.4
-10.333,9.7,8.4
-10.232,9.7,8.4
-10.132,9.7,8.4
-10.034,9.7,8.5
-9.933,9.7,8.4
-9.834,9.5,8.4
-9.733,9.7,8.4
-9.633,9.7,8.4
-9.534,9.5,8.4
-9.434,9.5,8.4
-9.330,9.5,8.4
-9.233,9.5,8.3
-9.133,9.5,8.1
-9.033,9.5,8.0
-8.934,9.3,8.0
-8.833,9.3,8.0
-8.730,9.3,8.0
-8.634,9.3,8.1
-8.533,9.3,8.1
-8.433,9.3,8.1
-8.332,9.3,8.1
-8.234,9.1,8.1
-8.134,9.1,8.3
-8.033,9.1,8.2
-7.934,9.1,8.2
-7.834,9.1,8.0
-7.734,9.1,8.1
-7.634,8.9,8.3
-7.534,9.0,8.3
-7.433,9.0,8.1
-7.334,8.9,8.4
-7.232,8.8,8.2
-7.133,8.8,8.2
-7.032,8.8,8.2
-6.934,8.5,8.3
-6.834,8.5,8.3
-6.734,8.5,8.3
-6.633,8.3,8.1
-6.533,8.3,8.1
-6.434,8.1,8.1
-6.333,8.0,8.1
-6.233,7.9,7.9
-6.133,7.7,7.9
-6.033,7.5,7.6
-5.932,7.5,7.4
-5.833,7.3,7.4
-5.734,7.1,7.4
-5.633,7.1,7.3
-5.529,6.7,7.0
-5.427,6.5,7.0
-5.333,6.3,6.8
-5.225,6.1,6.6
-5.134,6.1,6.6
-5.029,5.9,6.5
-4.933,5.7,6.5
-4.833,5.7,6.5
-4.732,5.5,6.2
-4.634,5.3,6.1
-4.533,5.3,6.1
-4.433,5.1,6.0
-4.333,4.9,5.8
-4.233,4.9,5.8
-4.133,4.8,5.6
-4.033,4.6,5.6
-3.934,4.5,5.5
-3.834,4.3,5.5
-3.733,4.3,5.2
-3.627,4.1,5.2
-3.532,3.9,5.0
-3.433,3.9,5.0
-3.332,3.9,5.1
-3.234,3.8,4.8
-3.133,3.8,4.8
-3.033,3.5,4.8
-2.933,3.3,4.6
-2.833,3.3,4.4
-2.733,3.1,4.4
-2.634,3.1,4.4
-2.534,2.9,4.2
-2.433,2.9,4.2
-2.333,2.7,4.0
-2.233,2.7,4.0
