# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-36.003,0,0,0,0,0
-35.993,0,0,0,0,0
-35.984,0,0,0,0,0
-35.974,0,0,0,0,0
-35.963,0,0,0,0,0
-35.954,0,0,0,0,0
-35.944,0,0,0,0,0
-35.933,0,0,0,0,0
-35.924,0,0,0,0,0
-35.913,0,0,0,0,0
-35.903,0,0,0,0,0
-35.892,0,0,0,0,0
-35.884,0,0,0,0,0
-35.874,0,0,0,0,0
-35.864,0,0,0,0,0
-35.854,0,0,0,0,0
-35.844,0,0,0,0,0
-35.833,0,0,0,0,0
-35.823,0,0,0,0,0
-35.814,0,0,0,0,0
-35.802,0,0,0,0,0
-35.794,0,0,0,0,0
-35.783,0,0,0,0,0
-35.773,0,0,0,0,0
-35.764,0,0,0,0,0
-35.753,0,0,0,0,0
-35.743,0,0,0,0,0
-35.733,0,0,0,0,0
-35.723,0,0,0,0,0
-35.712,0,0,0,0,0
-35.702,0,0,0,0,0
-35.692,0,0,0,0,0
-35.683,0,0,0,0,0
-35.673,0,0,0,0,0
-35.663,0,0,0,0,0
-35.654,0,0,0,0,0
-35.643,0,0,0,0,0
-35.634,0,0,0,0,0
-35.622,0,0,0,0,0
-35.614,0,0,0,0,0
-35.603,0,0,0,0,0
-35.594,0,0,0,0,0
-35.583,0,0,0,0,0
-35.573,0,0,0,0,0
-35.563,0,0,0,0,0
-35.553,0,0,0,0,0
-35.544,0,0,0,0,0
-35.532,0,0,0,0,0
-35.524,0,0,0,0,0
-35.514,0,0,0,0,0
-35.504,0,0,0,0,0
-35.494,0,0,0,0,0
-35.483,0,0,0,0,0
-35.473,0,0,0,0,0
-35.462,0,0,0,0,0
-35.452,0,0,0,0,0
-35.444,0,0,0,0,0
-35.434,0,0,0,0,0
-35.420,0,0,0,0,0
-35.408,0,0,0,0,0
-35.400,0,0,0,0,0
-35.393,0,0,0,0,0
-35.383,0,0,0,0,0
-35.374,0,0,0,0,0
-35.363,0,0,0,0,0
-35.353,0,0,0,0,0
-35.343,0,0,0,0,0
-35.333,0,0,0,0,0
-35.324,0,0,0,0,0
-35.314,0,0,0,0,0
-35.303,0,0,0,0,0
-35.293,0,0,0,0,0
-35.284,0,0,0,0,0
-35.273,0,0,0,0,0
-35.264,0,0,0,0,0
-35.253,0,0,0,0,0
-35.243,0,0,0,0,0
-35.233,0,0,0,0,0
-35.223,0,0,0,0,0
-35.214,0,0,0,0,0
-35.203,0,0,0,0,0
-35.194,0,0,0,0,0
-35.184,0,0,0,0,0
-35.174,0,0,0,0,0
-35.164,0,0,0,0,0
-35.154,0,0,0,0,0
-35.144,0,0,0,0,0
-35.133,0,0,0,0,0
-35.122,0,0,0,0,0
-35.113,0,0,0,0,0
-35.104,0,0,0,0,0
-35.094,0,0,0,0,0
-35.084,0,0,0,0,0
-35.074,0,0,0,0,0
-35.063,0,0,0,0,0
-35.054,0,0,0,0,0
-35.043,0,0,0,0,0
-35.033,0,0,0,0,0
-35.022,0,0,0,0,0
-35.013,0,0,0,0,0
-35.003,0,0,0,0,0
-34.993,0,0,0,0,0
-34.984,0,0,0,0,0
-34.973,0,0,0,0,0
-34.963,0,0,0,0,0
-34.954,0,0,0,0,0
-34.944,0,0,0,0,0
-34.932,0,0,0,0,0
-34.924,0,0,0,0,0
-34.914,0,0,0,0,0
-34.903,0,0,0,0,0
-34.893,0,0,0,0,0
-34.884,0,0,0,0,0
-34.873,0,0,0,0,0
-34.862,0,0,0,0,0
-34.854,0,0,0,0,0
-34.842,0,0,0,0,0
-34.834,0,0,0,0,0
-34.823,0,0,0,0,0
-34.809,0,0,0,0,0
-34.797,0,0,0,0,0
-34.788,0,0,0,0,0
-34.783,0,0,0,0,0
-34.774,0,0,0,0,0
-34.762,0,0,0,0,0
-34.754,0,0,0,0,0
-34.744,0,0,0,0,0
-34.734,0,0,0,0,0
