# T[s],control
2.117,16385
2.196,16385
2.275,16385
2.352,16385
2.430,16385
2.508,16385
2.587,16385
2.665,16385
2.977,16385
3.056,16385
3.135,16385
3.219,16385
3.289,16385
3.368,16385
3.682,16385
3.760,16385
3.846,16385
3.916,16385
3.995,16385
4.072,16385
4.231,16385
4.308,16385
4.386,16385
4.465,16385
4.543,16385
4.620,16385
4.697,16385
4.776,16385
4.934,16385
5.012,16385
5.090,16385
5.168,16385
5.247,16385
5.324,16385
5.403,16385
5.480,16385
5.794,16385
5.872,16385
5.951,16385
6.030,16385
6.106,16385
6.184,16385
6.342,16385
6.420,16385
6.498,16385
6.576,16385
6.654,16385
6.738,16385
6.810,16385
6.890,16385
7.047,16385
7.125,16385
7.203,16385
7.280,16385
7.358,16385
7.436,16385
7.515,16385
7.592,16385
7.750,16385
7.828,16385
7.907,16385
7.984,16385
8.063,16385
8.141,16385
8.218,16385
8.296,16385
8.455,16385
8.533,16385
8.610,16385
8.688,16385
8.766,16385
8.845,16385
8.922,16385
9.001,16385
9.158,16385
9.237,16385
9.315,16385
9.392,16385
9.470,16385
9.548,16385
9.626,16385
9.704,16385
9.863,16385
9.941,16385
10.019,16385
10.096,16385
10.176,16385
10.255,16385
10.331,16385
10.408,16385
10.566,16385
10.644,16385
10.722,16385
10.800,16385
10.878,16385
10.956,16385
11.035,16385
11.113,16385
11.270,16385
11.350,16385
11.427,16385
11.505,16385
11.582,16385
11.660,16385
11.738,16385
11.817,16385
11.974,16385
12.053,16385
12.130,16385
12.209,16385
12.286,16385
12.364,16385
12.443,16385
12.520,16385
12.679,16385
12.756,16385
12.835,16385
12.913,16385
12.990,16385
13.069,16385
13.146,16385
13.225,16385
13.539,16385
13.618,16385
13.695,16385
13.773,16385
13.850,16385
13.929,16385
14.087,16385
14.165,16385
14.242,16385
14.321,16385
14.398,16385
14.476,16385
14.555,16385
14.633,16385
14.790,16385
14.870,16385
14.948,16385
15.025,16385
15.103,16385
15.181,16385
15.261,16385
15.337,16385
15.495,16385
15.572,16385
15.652,16385
15.729,16385
15.806,16385
15.885,16385
15.963,16385
16.042,16385
16.202,16385
16.277,16385
16.355,16385
16.433,16385
16.510,16385
16.589,16385
16.667,16385
16.745,16385
16.904,16385
16.981,16385
17.059,16385
17.137,16385
17.215,16385
17.293,16385
17.370,16385
17.450,16385
17.608,16385
17.685,16385
17.763,16385
17.842,16385
17.919,16385
17.998,16385
18.076,16385
18.153,16385
18.310,16385
18.389,16385
18.468,16385
18.546,16385
18.622,16385
18.701,16385
18.779,16385
18.857,16385
19.170,16385
19.249,16385
19.328,16385
19.407,16385
19.482,16385
