# T[s],v25_state
-38.000,2
-37.899,2
-37.799,2
-37.699,2
-37.598,2
-37.498,2
-37.399,2
-37.299,2
-37.199,2
-37.099,2
-36.998,2
-36.899,2
-36.799,2
-36.694,2
-36.599,2
-36.499,2
-36.399,2
-36.298,2
-36.199,2
-36.099,2
-35.999,2
-35.899,2
-35.799,2
-35.699,2
-35.598,2
-35.499,2
-35.396,2
-35.299,2
-35.198,2
-35.098,2
-34.999,2
-34.897,2
-34.792,2
-34.699,2
-34.598,2
-34.491,2
-34.399,2
-34.298,2
-34.199,2
-34.098,2
-33.999,2
-33.893,2
-33.798,2
-33.698,2
-33.597,2
-33.499,2
-33.399,2
-33.298,2
-33.199,2
-33.098,2
-32.999,2
-32.898,2
-32.800,2
-32.698,2
-32.598,2
-32.498,2
-32.398,2
-32.297,2
-32.199,2
-32.099,2
-31.999,2
-31.899,2
-31.799,2
-31.698,2
-31.599,2
-31.498,2
-31.398,2
-31.298,2
-31.198,2
-31.098,2
-30.999,2
-30.898,2
-30.798,2
-30.698,2
-30.599,2
-30.497,2
-30.399,2
-30.298,2
-30.198,2
-30.098,2
-30.000,2
-29.895,2
-29.799,2
-29.699,2
-29.598,2
-29.498,2
-29.398,2
-29.298,2
-29.198,2
-29.099,2
-28.999,2
-28.898,2
-28.798,2
-28.698,2
-28.597,2
-28.497,2
-28.399,2
-28.299,2
-28.200,2
-28.099,2
-27.997,2
-27.899,2
-27.798,2
-27.698,2
-27.598,2
-27.498,2
-27.397,2
-27.298,2
-27.201,2
-27.099,2
-26.998,2
-26.898,2
-26.797,2
-26.698,2
-26.598,2
-26.499,2
-26.399,2
-26.299,2
-26.198,2
-26.099,2
-26.000,2
-25.898,2
-25.798,2
-25.698,2
-25.593,2
-25.498,2
-25.399,2
-25.299,2
-25.199,2
-25.098,2
-24.999,2
-24.899,2
-24.800,2
-24.698,2
-24.598,2
-24.499,2
-24.398,2
-24.297,2
-24.199,2
-24.099,2
-23.998,2
-23.899,2
-23.800,2
-23.699,2
-23.598,2
-23.498,2
-23.398,2
-23.299,2
-23.199,2
-23.099,2
-22.998,2
-22.899,2
-22.801,2
-22.698,2
-22.598,2
-22.493,2
-22.399,2
-22.295,2
-22.198,2
-22.094,2
-21.998,2
-21.898,2
-21.800,2
-21.698,2
-21.599,2
-21.498,2
-21.398,2
-21.298,2
-21.197,2
-21.099,2
-20.999,2
