# T[s],v25_state
-20.899,2
-20.799,2
-20.699,2
-20.599,2
-20.499,2
-20.399,2
-20.298,2
-20.198,2
-20.098,2
-20.000,2
-19.898,2
-19.795,2
-19.699,2
-19.598,2
-19.498,2
-19.397,2
-19.298,2
-19.198,2
-19.094,2
-18.998,2
-18.898,2
-18.799,2
-18.699,2
-18.598,2
-18.499,2
-18.399,2
-18.298,2
-18.199,2
-18.097,2
-17.999,2
-17.897,2
-17.801,2
-17.694,2
-17.598,2
-17.499,2
-17.399,2
-17.299,2
-17.199,2
-17.098,2
-16.997,2
-16.897,2
-16.799,2
-16.698,2
-16.599,2
-16.496,2
-16.398,2
-16.294,2
-16.200,2
-16.099,2
-15.999,2
-15.898,2
-15.798,2
-15.697,2
-15.599,2
-15.499,2
-15.398,2
-15.299,2
-15.200,2
-15.098,2
-14.997,2
-14.899,2
-14.798,2
-14.698,2
-14.591,2
-14.499,2
-14.391,2
-14.298,2
-14.198,2
-14.098,2
-13.994,2
-13.897,2
-13.798,2
-13.699,2
-13.597,2
-13.491,2
-13.398,2
-13.299,2
-13.199,2
-13.099,2
-12.999,2
-12.898,2
-12.798,2
-12.698,2
-12.597,2
-12.499,2
-12.399,2
-12.299,2
-12.198,2
-12.098,2
-11.999,2
-11.897,2
-11.799,0
-11.698,1
-11.599,1
-11.498,1
-11.398,1
-11.299,1
-11.199,1
-11.099,1
-10.998,1
-10.898,1
-10.798,1
-10.698,1
-10.598,1
-10.498,1
-10.398,1
-10.298,1
-10.198,1
-10.099,1
-9.999,1
-9.898,1
-9.799,1
-9.699,1
-9.598,1
-9.497,1
-9.399,1
-9.299,1
-9.199,1
-9.098,1
-8.998,1
-8.895,1
-8.799,1
-8.698,1
-8.598,1
-8.498,1
-8.397,1
-8.298,1
-8.199,1
-8.099,1
-7.999,1
-7.898,1
-7.797,1
-7.697,1
-7.597,1
-7.499,1
-7.398,1
-7.298,1
-7.198,1
-7.098,1
-6.998,1
-6.899,1
-6.798,1
-6.698,1
-6.598,1
-6.498,1
-6.399,1
-6.297,1
-6.199,1
-6.098,1
-5.996,1
-5.898,1
-5.795,1
-5.699,1
-5.594,1
-5.499,1
-5.397,1
-5.298,1
-5.197,1
-5.099,1
-4.998,1
-4.898,1
-4.799,1
-4.698,1
-4.595,1
-4.496,1
-4.399,1
-4.299,1
-4.198,1
-4.098,1
-3.998,1
-3.899,1
-3.799,1
-3.698,1
-3.598,1
-3.498,1
-3.398,1
-3.298,1
-3.199,1
-3.097,1
-2.998,1
-2.893,1
-2.798,1
-2.698,1
-2.598,1
-2.499,1
-2.398,1
-2.298,1
-2.198,1
-2.097,1
-1.999,1
-1.899,1
-1.794,1
-1.698,1
-1.598,1
-1.498,1
-1.399,1
-1.299,1
-1.198,1
-1.095,1
-0.997,1
-0.898,1
-0.799,1
-0.698,1
-0.599,1
-0.498,1
-0.398,1
-0.299,1
-0.199,1
-0.097,1
0.002,1
0.102,1
0.202,1
0.303,1
0.403,1
0.505,1
0.604,1
0.704,1
0.804,1
0.902,1
1.003,1
1.103,1
1.202,1
1.302,1
1.402,1
1.503,0
1.602,0
1.707,2
1.802,2
1.901,2
2.002,2
2.102,2
2.202,2
2.303,2
2.402,2
2.502,2
2.604,2
2.702,2
2.801,2
2.901,2
3.003,2
3.101,2
3.206,2
3.302,2
3.402,2
3.503,2
3.603,2
3.701,2
3.802,2
3.903,2
4.002,2
4.103,2
4.206,2
4.303,2
4.402,2
4.508,2
4.602,2
4.701,2
4.801,2
4.902,2
5.004,2
5.102,2
5.203,2
5.302,2
5.402,2
5.501,2
5.601,2
5.702,2
5.803,2
5.902,2
6.003,2
6.102,2
6.201,2
6.302,2
6.402,2
6.502,2
6.603,2
6.701,2
6.804,2
6.904,2
7.002,2
7.102,2
7.202,2
7.301,2
7.402,2
7.502,2
7.602,2
7.703,2
7.803,2
7.902,2
8.003,2
8.107,2
8.202,2
8.302,2
8.402,2
8.502,2
8.603,2
8.702,2
8.804,2
8.903,2
9.003,2
9.103,2
9.201,2
9.302,2
9.402,2
9.502,2
9.602,2
9.703,2
9.802,2
9.902,2
10.002,2
10.102,2
10.202,2
10.302,2
10.402,2
10.502,2
10.602,2
10.702,2
10.803,2
10.902,2
11.003,2
11.103,2
11.202,2
11.302,2
11.402,2
11.503,2
11.603,2
11.703,2
11.802,2
11.902,2
12.003,2
12.102,2
12.202,2
12.303,2
12.404,2
12.502,2
12.603,2
12.702,2
12.802,2
12.902,2
13.002,2
13.102,2
13.202,2
13.302,2
13.402,2
13.502,2
13.603,2
13.702,2
13.803,2
13.902,2
14.002,2
14.101,2
14.201,2
14.302,2
14.403,2
14.503,2
14.602,2
14.701,2
14.803,2
14.903,2
15.002,2
15.102,2
15.202,2
15.303,2
15.404,2
15.502,2
15.603,2
15.703,2
15.802,2
15.903,2
16.003,2
16.102,2
16.206,2
16.302,2
16.403,2
16.502,2
16.603,2
16.702,2
16.803,2
16.902,2
17.002,2
17.102,2
17.203,2
17.303,2
17.404,2
17.502,2
17.603,2
17.702,2
17.804,2
17.903,2
18.004,2
18.102,2
18.203,2
18.302,2
18.403,2
18.502,2
18.603,2
18.703,2
18.803,2
18.902,2
19.003,2
19.102,2
19.203,2
19.306,2
19.402,2
19.503,2
19.603,2
19.703,2
19.802,2
19.902,2
20.004,2
20.103,2
20.202,2
20.303,2
20.404,2
20.502,2
20.604,2
20.702,2
20.807,2
20.903,2
21.002,2
21.102,2
21.202,2
21.302,2
21.408,2
21.503,2
21.603,2
21.702,2
21.804,2
21.903,2
22.002,2
22.103,2
22.204,2
22.302,2
22.402,2
22.503,2
22.603,2
22.703,2
22.803,2
22.902,2
23.004,2
23.103,2
23.202,2
23.303,2
23.402,2
23.504,2
23.602,2
23.702,2
23.803,2
23.903,2
24.001,2
24.103,2
24.206,2
24.303,2
24.402,2
24.503,2
24.604,2
24.703,2
24.802,2
24.904,2
25.003,2
25.103,2
25.203,2
25.303,2
25.403,2
25.502,2
25.603,2
25.703,2
25.802,2
26.002,2
26.103,2
26.201,2
26.307,2
26.405,2
26.503,2
26.603,2
26.702,2
26.803,2
26.903,2
27.002,2
27.104,2
27.201,2
27.302,2
27.402,2
27.503,2
27.603,2
27.703,2
27.802,2
27.902,2
28.002,2
28.103,2
28.202,2
28.309,2
28.404,2
28.503,2
28.604,2
28.703,2
28.807,2
28.903,2
29.003,2
29.102,2
29.201,2
29.303,2
29.403,2
29.503,2
29.608,2
29.703,2
29.802,2
29.903,2
30.003,2
30.103,2
30.202,2
30.303,2
30.402,2
30.504,2
30.607,2
30.703,2
30.803,2
30.902,2
31.003,2
31.102,2
31.309,2
31.403,2
31.503,2
31.602,2
31.703,2
31.804,2
31.903,2
32.202,2
32.302,2
32.402,2
32.503,2
32.603,2
32.701,2
32.802,2
32.902,2
33.004,2
33.103,2
33.200,2
33.303,2
33.403,2
33.502,2
33.602,2
33.703,2
33.803,2
33.902,2
34.201,2
34.302,2
34.403,2
34.503,2
34.606,2
38.201,2
38.303,2
38.402,2
38.502,2
38.803,2
38.903,2
39.002,2
39.102,2
40.902,2
41.003,2
41.103,2
41.206,2
41.307,2
41.403,2
41.502,2
41.602,2
41.702,2
45.005,2
64.703,2
