# T[s],ax[g],ay[g],az[g]
-19.763,-0.000,0.006,1.003
-19.663,-0.000,0.006,1.003
-19.563,-0.000,0.006,1.003
-19.463,-0.000,0.006,1.003
-19.362,0.000,0.006,1.003
-19.263,-0.000,0.006,1.003
-19.162,0.000,0.006,1.003
-19.063,0.000,0.006,1.003
-18.956,0.000,0.006,1.003
-18.863,-0.000,0.006,1.003
-18.763,0.000,0.006,1.003
-18.658,0.000,0.006,1.003
-18.563,0.000,0.006,1.003
-18.463,0.000,0.006,1.003
-18.363,0.000,0.006,1.003
-18.261,0.000,0.006,1.003
-18.163,-0.000,0.006,1.003
-18.062,-0.000,0.006,1.003
-17.962,0.000,0.006,1.003
-17.862,-0.000,0.006,1.003
-17.763,-0.000,0.006,1.003
-17.663,0.000,0.006,1.003
-17.563,0.000,0.006,1.003
-17.463,0.000,0.006,1.003
-17.362,0.000,0.006,1.003
-17.263,0.000,0.006,1.003
-17.163,0.000,0.006,1.003
-17.063,0.000,0.006,1.003
-16.963,-0.000,0.006,1.003
-16.863,0.000,0.006,1.003
-16.762,-0.000,0.006,1.003
-16.662,0.000,0.006,1.003
-16.562,0.000,0.006,1.003
-16.462,0.000,0.006,1.003
-16.362,0.000,0.006,1.003
-16.263,0.000,0.006,1.003
-16.164,0.000,0.006,1.003
-16.063,0.000,0.006,1.003
-15.963,0.000,0.006,1.003
-15.863,0.000,0.006,1.003
-15.763,0.000,0.006,1.003
-15.663,0.000,0.006,1.003
-15.563,0.000,0.006,1.003
-15.462,0.000,0.006,1.003
-15.363,0.000,0.006,1.003
-15.263,-0.000,0.006,1.003
-15.163,0.000,0.006,1.003
-15.063,0.000,0.006,1.003
-14.962,0.000,0.006,1.003
-14.863,-0.000,0.006,1.003
-14.763,0.000,0.006,1.003
-14.663,0.000,0.006,1.003
-14.563,0.000,0.006,1.003
-14.462,0.000,0.006,1.003
-14.363,0.000,0.006,1.003
-14.263,0.000,0.006,1.003
-14.162,0.000,0.006,1.003
-14.063,0.000,0.006,1.003
-13.960,0.000,0.006,1.003
-13.862,-0.000,0.006,1.003
-13.763,0.000,0.006,1.003
-13.662,0.000,0.006,1.003
-13.563,0.000,0.006,1.003
-13.463,0.000,0.006,1.003
-13.363,0.000,0.006,1.003
-13.263,-0.000,0.006,1.003
-13.163,-0.000,0.006,1.003
-13.063,0.000,0.006,1.003
-12.962,0.000,0.006,1.003
-12.863,-0.000,0.006,1.003
-12.763,0.000,0.006,1.003
-12.661,-0.000,0.006,1.003
-12.562,-0.000,0.006,1.003
-12.463,0.000,0.006,1.003
-12.363,0.000,0.006,1.003
-12.263,-0.000,0.006,1.003
-12.163,0.000,0.006,1.003
-12.063,-0.000,0.006,1.003
-11.963,-0.000,0.006,1.003
-11.862,-0.000,0.006,1.003
-11.764,-0.000,0.006,1.003
-11.659,-0.000,0.006,1.004
-11.563,0.000,0.006,1.002
